[1.15101, 1.15112] ; [0.383015, 0.385013]
[1.15573, 1.15584] ; [0.385013, 0.38698]
[1.16014, 1.16025] ; [0.38698, 0.388918]
[1.16425, 1.16436] ; [0.388918, 0.390826]
[1.16806, 1.16818] ; [0.390826, 0.392705]
[1.1716, 1.17172] ; [0.392705, 0.394555]
[1.17487, 1.17499] ; [0.394555, 0.396377]
[1.17789, 1.17801] ; [0.396377, 0.398169]
[1.18065, 1.18077] ; [0.398169, 0.399932]
[1.18318, 1.1833] ; [0.399932, 0.401667]
[1.18548, 1.1856] ; [0.401667, 0.40338]
[1.18759, 1.18772] ; [0.40338, 0.405088]
[1.18951, 1.18964] ; [0.405088, 0.406793]
[1.19124, 1.19137] ; [0.406793, 0.408493]
[1.19279, 1.19291] ; [0.408493, 0.410189]
[1.19414, 1.19427] ; [0.410189, 0.411881]
[1.19531, 1.19544] ; [0.411881, 0.413569]
[1.19629, 1.19642] ; [0.413569, 0.415254]
[1.19709, 1.19722] ; [0.415254, 0.416936]
[1.19771, 1.19784] ; [0.416936, 0.418614]
[1.19815, 1.19828] ; [0.418614, 0.420289]
[1.1984, 1.19854] ; [0.420289, 0.421961]
[1.19848, 1.19861] ; [0.421961, 0.42363]
[1.19838, 1.19851] ; [0.42363, 0.425296]
[1.1981, 1.19824] ; [0.425296, 0.426959]
[1.19764, 1.19778] ; [0.426959, 0.428619]
[1.19701, 1.19715] ; [0.428619, 0.430277]
[1.19621, 1.19635] ; [0.430277, 0.431932]
[1.19523, 1.19537] ; [0.431932, 0.433585]
[1.19408, 1.19422] ; [0.433585, 0.435235]
[1.19275, 1.1929] ; [0.435235, 0.436883]
[1.19126, 1.1914] ; [0.436883, 0.438529]
[1.18959, 1.18974] ; [0.438529, 0.440172]
[1.18776, 1.18791] ; [0.440172, 0.441814]
[1.18575, 1.1859] ; [0.441814, 0.443454]
[1.18358, 1.18373] ; [0.443454, 0.445092]
[1.18125, 1.1814] ; [0.445092, 0.446724]
[1.17876, 1.17891] ; [0.446724, 0.448349]
[1.17608, 1.17623] ; [0.448349, 0.449986]
[1.1732, 1.17335] ; [0.449986, 0.451638]
[1.17012, 1.17028] ; [0.451638, 0.453306]
[1.16684, 1.16699] ; [0.453306, 0.454989]
[1.16334, 1.1635] ; [0.454989, 0.456687]
[1.15963, 1.15979] ; [0.456687, 0.458401]
[1.15571, 1.15586] ; [0.458401, 0.460128]
[1.15156, 1.15172] ; [0.460128, 0.461869]
[1.14719, 1.14735] ; [0.461869, 0.463623]
[1.14259, 1.14275] ; [0.463623, 0.465392]
[1.13776, 1.13792] ; [0.465392, 0.467174]
[1.13269, 1.13285] ; [0.467174, 0.468971]
[1.12737, 1.12754] ; [0.468971, 0.470781]
[1.12181, 1.12198] ; [0.470781, 0.472607]
[1.116, 1.11616] ; [0.472607, 0.474448]
[1.10993, 1.11009] ; [0.474448, 0.476304]
[1.10359, 1.10375] ; [0.476304, 0.478176]
[1.09697, 1.09714] ; [0.478176, 0.480064]
