[0.899888, 0.899958] ; [0.631713, 0.633239]
[0.901446, 0.901517] ; [0.633239, 0.634744]
[0.902966, 0.903038] ; [0.634744, 0.636231]
[0.904451, 0.904523] ; [0.636231, 0.637701]
[0.905904, 0.905977] ; [0.637701, 0.639157]
[0.907328, 0.907401] ; [0.639157, 0.640601]
[0.908724, 0.908797] ; [0.640601, 0.642034]
[0.910094, 0.910168] ; [0.642034, 0.643457]
[0.91144, 0.911515] ; [0.643457, 0.644873]
[0.912764, 0.91284] ; [0.644873, 0.646281]
[0.914067, 0.914143] ; [0.646281, 0.647684]
[0.91535, 0.915427] ; [0.647684, 0.64908]
[0.916614, 0.916691] ; [0.64908, 0.650472]
[0.91786, 0.917938] ; [0.650472, 0.65186]
[0.91909, 0.919168] ; [0.65186, 0.653245]
[0.920303, 0.920382] ; [0.653245, 0.654628]
[0.921502, 0.921581] ; [0.654628, 0.656009]
[0.922686, 0.922766] ; [0.656009, 0.657389]
[0.923857, 0.923938] ; [0.657389, 0.658768]
[0.925016, 0.925097] ; [0.658768, 0.660148]
[0.926163, 0.926244] ; [0.660148, 0.661528]
[0.927299, 0.927381] ; [0.661528, 0.66291]
[0.928425, 0.928507] ; [0.66291, 0.664293]
[0.92954, 0.929623] ; [0.664293, 0.665679]
[0.930647, 0.93073] ; [0.665679, 0.667067]
[0.931745, 0.931828] ; [0.667067, 0.668458]
[0.932835, 0.932919] ; [0.668458, 0.669852]
[0.933917, 0.934001] ; [0.669852, 0.67125]
[0.934992, 0.935077] ; [0.67125, 0.672653]
[0.93606, 0.936146] ; [0.672653, 0.67406]
[0.937123, 0.937209] ; [0.67406, 0.675472]
[0.93818, 0.938266] ; [0.675472, 0.676889]
[0.939231, 0.939318] ; [0.676889, 0.678312]
[0.940278, 0.940366] ; [0.678312, 0.679741]
[0.941321, 0.941409] ; [0.679741, 0.681176]
[0.94236, 0.942449] ; [0.681176, 0.682618]
[0.943396, 0.943486] ; [0.682618, 0.684067]
[0.94443, 0.94452] ; [0.684067, 0.685523]
[0.94546, 0.945551] ; [0.685523, 0.686987]
[0.946489, 0.946581] ; [0.686987, 0.688459]
[0.947517, 0.947609] ; [0.688459, 0.689939]
[0.948544, 0.948636] ; [0.689939, 0.691428]
[0.94957, 0.949663] ; [0.691428, 0.692926]
[0.950596, 0.950689] ; [0.692926, 0.694433]
[0.951622, 0.951716] ; [0.694433, 0.69595]
[0.95265, 0.952744] ; [0.69595, 0.697477]
[0.953679, 0.953774] ; [0.697477, 0.699014]
[0.954709, 0.954805] ; [0.699014, 0.700562]
[0.955743, 0.955839] ; [0.700562, 0.702121]
[0.956779, 0.956876] ; [0.702121, 0.703691]
