[0.717904, 0.717929] ; [0.408493, 0.410189]
[0.720479, 0.720505] ; [0.410189, 0.411881]
[0.723045, 0.723071] ; [0.411881, 0.413569]
[0.725601, 0.725627] ; [0.413569, 0.415254]
[0.728148, 0.728174] ; [0.415254, 0.416936]
[0.730686, 0.730712] ; [0.416936, 0.418614]
[0.733215, 0.733242] ; [0.418614, 0.420289]
[0.735737, 0.735763] ; [0.420289, 0.421961]
[0.738251, 0.738277] ; [0.421961, 0.42363]
[0.740758, 0.740784] ; [0.42363, 0.425296]
[0.743258, 0.743284] ; [0.425296, 0.426959]
[0.745752, 0.745778] ; [0.426959, 0.428619]
[0.748239, 0.748266] ; [0.428619, 0.430277]
[0.750721, 0.750748] ; [0.430277, 0.431932]
[0.753199, 0.753225] ; [0.431932, 0.433585]
[0.755671, 0.755698] ; [0.433585, 0.435235]
[0.758139, 0.758166] ; [0.435235, 0.436883]
[0.760603, 0.76063] ; [0.436883, 0.438529]
[0.763064, 0.763091] ; [0.438529, 0.440172]
[0.765522, 0.76555] ; [0.440172, 0.441814]
[0.767978, 0.768005] ; [0.441814, 0.443454]
[0.770431, 0.770458] ; [0.443454, 0.445092]
[0.772875, 0.772903] ; [0.445092, 0.446724]
[0.775311, 0.775339] ; [0.446724, 0.448349]
[0.777766, 0.777794] ; [0.448349, 0.449986]
[0.780247, 0.780274] ; [0.449986, 0.451638]
[0.782752, 0.78278] ; [0.451638, 0.453306]
[0.785283, 0.785311] ; [0.453306, 0.454989]
[0.78784, 0.787868] ; [0.454989, 0.456687]
[0.790423, 0.790451] ; [0.456687, 0.458401]
[0.793031, 0.793059] ; [0.458401, 0.460128]
[0.795663, 0.795692] ; [0.460128, 0.461869]
[0.798321, 0.79835] ; [0.461869, 0.463623]
[0.801005, 0.801034] ; [0.463623, 0.465392]
[0.803716, 0.803745] ; [0.465392, 0.467174]
[0.806455, 0.806484] ; [0.467174, 0.468971]
[0.809222, 0.809252] ; [0.468971, 0.470781]
[0.812019, 0.812049] ; [0.470781, 0.472607]
[0.814847, 0.814877] ; [0.472607, 0.474448]
[0.817707, 0.817737] ; [0.474448, 0.476304]
[0.820601, 0.820631] ; [0.476304, 0.478176]
[0.82353, 0.82356] ; [0.478176, 0.480064]
[0.826496, 0.826526] ; [0.480064, 0.48197]
[0.829501, 0.829532] ; [0.48197, 0.483894]
[0.832548, 0.832578] ; [0.483894, 0.485836]
[0.835639, 0.835669] ; [0.485836, 0.487799]
[0.838776, 0.838807] ; [0.487799, 0.489783]
[0.841964, 0.841995] ; [0.489783, 0.49179]
[0.845206, 0.845237] ; [0.49179, 0.493822]
[0.848506, 0.848538] ; [0.493822, 0.49588]
[0.85187, 0.851902] ; [0.49588, 0.497968]
[0.855294, 0.855326] ; [0.497968, 0.500081]
[0.858775, 0.858807] ; [0.500081, 0.502218]
[0.862318, 0.86235] ; [0.502218, 0.504381]
[0.865927, 0.865959] ; [0.504381, 0.506572]
[0.869608, 0.869641] ; [0.506572, 0.508793]
[0.873368, 0.873401] ; [0.508793, 0.511048]
[0.877216, 0.877249] ; [0.511048, 0.513341]
[0.881162, 0.881196] ; [0.513341, 0.515677]
[0.885218, 0.885252] ; [0.515677, 0.518063]
[0.889402, 0.889436] ; [0.518063, 0.520507]
[0.893734, 0.893769] ; [0.520507, 0.52302]
[0.898243, 0.898279] ; [0.52302, 0.525616]
[0.90297, 0.903005] ; [0.525616, 0.528318]
[0.907967, 0.908003] ; [0.528318, 0.531153]
[0.912537, 0.912574] ; [0.531153, 0.533727]
[0.916881, 0.916918] ; [0.533727, 0.536156]
[0.92103, 0.921067] ; [0.536156, 0.538463]
[0.92502, 0.925058] ; [0.538463, 0.540669]
[0.928877, 0.928915] ; [0.540669, 0.542789]
[0.932617, 0.932656] ; [0.542789, 0.544836]
[0.936257, 0.936296] ; [0.544836, 0.546819]
[0.939808, 0.939848] ; [0.546819, 0.548745]
[0.94328, 0.94332] ; [0.548745, 0.550621]
[0.946681, 0.94672] ; [0.550621, 0.552452]
