[-0.0581989, -0.0581737] ; [0.307568, 0.309132]
[-0.0574073, -0.0573819] ; [0.309132, 0.310709]
[-0.0566037, -0.0565781] ; [0.310709, 0.312301]
[-0.0557886, -0.0557627] ; [0.312301, 0.313907]
[-0.0549624, -0.0549363] ; [0.313907, 0.315527]
[-0.0541255, -0.0540992] ; [0.315527, 0.317162]
[-0.0532785, -0.0532519] ; [0.317162, 0.318812]
[-0.0524218, -0.052395] ; [0.318812, 0.320478]
[-0.0515559, -0.051529] ; [0.320478, 0.322158]
[-0.0506814, -0.0506542] ; [0.322158, 0.323855]
[-0.0497987, -0.0497713] ; [0.323855, 0.325567]
[-0.0489088, -0.0488811] ; [0.325567, 0.327295]
[-0.0480137, -0.0479859] ; [0.327295, 0.329036]
[-0.0471142, -0.0470862] ; [0.329036, 0.33079]
[-0.0462107, -0.0461825] ; [0.33079, 0.332557]
[-0.0453039, -0.0452754] ; [0.332557, 0.334339]
[-0.0443942, -0.0443655] ; [0.334339, 0.336134]
[-0.0434822, -0.0434533] ; [0.336134, 0.337944]
[-0.0425685, -0.0425394] ; [0.337944, 0.339769]
[-0.0416536, -0.0416242] ; [0.339769, 0.34161]
[-0.040738, -0.0407084] ; [0.34161, 0.343467]
[-0.0398222, -0.0397924] ; [0.343467, 0.345341]
[-0.0389067, -0.0388767] ; [0.345341, 0.347232]
[-0.037992, -0.0379618] ; [0.347232, 0.349142]
[-0.0370785, -0.037048] ; [0.349142, 0.351072]
[-0.0361666, -0.0361359] ; [0.351072, 0.353022]
[-0.0352567, -0.0352258] ; [0.353022, 0.354993]
[-0.0343491, -0.034318] ; [0.354993, 0.356988]
[-0.0334442, -0.0334129] ; [0.356988, 0.359008]
[-0.0325423, -0.0325107] ; [0.359008, 0.361053]
[-0.0316435, -0.0316117] ; [0.361053, 0.363128]
[-0.0307481, -0.030716] ; [0.363128, 0.365233]
[-0.0298561, -0.0298238] ; [0.365233, 0.367371]
[-0.0289681, -0.0289355] ; [0.367371, 0.369545]
[-0.0280851, -0.0280522] ; [0.369545, 0.371754]
[-0.027207, -0.0271738] ; [0.371754, 0.374004]
[-0.0263335, -0.0263001] ; [0.374004, 0.376299]
[-0.0254642, -0.0254306] ; [0.376299, 0.378643]
[-0.0245987, -0.0245648] ; [0.378643, 0.381045]
[-0.023736, -0.0237017] ; [0.381045, 0.383511]
[-0.0228749, -0.0228403] ; [0.383511, 0.386054]
[-0.0220136, -0.0219786] ; [0.386054, 0.388687]
[-0.0211495, -0.0211141] ; [0.388687, 0.391429]
[-0.0202945, -0.0202588] ; [0.391429, 0.394253]
[-0.0195086, -0.0194725] ; [0.394253, 0.396958]
[-0.0187927, -0.0187562] ; [0.396958, 0.399524]
[-0.0181339, -0.0180972] ; [0.399524, 0.401982]
[-0.0175253, -0.0174882] ; [0.401982, 0.404345]
[-0.0169606, -0.0169233] ; [0.404345, 0.406624]
[-0.0164351, -0.0163976] ; [0.406624, 0.408828]
[-0.0159447, -0.0159069] ; [0.408828, 0.410966]
[-0.0154859, -0.015448] ; [0.410966, 0.413043]
[-0.015056, -0.0150178] ; [0.413043, 0.415064]
[-0.0146523, -0.014614] ; [0.415064, 0.417033]
[-0.0142728, -0.0142343] ; [0.417033, 0.418955]
[-0.0139156, -0.0138769] ; [0.418955, 0.42083]
[-0.0135788, -0.0135399] ; [0.42083, 0.422663]
[-0.0132611, -0.013222] ; [0.422663, 0.424456]
[-0.012961, -0.0129218] ; [0.424456, 0.426209]
[-0.0126773, -0.012638] ; [0.426209, 0.427925]
[-0.0124089, -0.0123694] ; [0.427925, 0.429606]
[-0.0121548, -0.0121152] ; [0.429606, 0.431251]
[-0.011914, -0.0118742] ; [0.431251, 0.432863]
[-0.011682, -0.0116421] ; [0.432863, 0.434468]
[-0.0114586, -0.0114186] ; [0.434468, 0.436064]
[-0.0112433, -0.0112031] ; [0.436064, 0.437654]
[-0.0110357, -0.0109953] ; [0.437654, 0.439237]
[-0.0108353, -0.0107949] ; [0.439237, 0.440814]
[-0.0106419, -0.0106013] ; [0.440814, 0.442385]
[-0.010455, -0.0104143] ; [0.442385, 0.443951]
[-0.0102743, -0.0102335] ; [0.443951, 0.445512]
[-0.0100994, -0.0100584] ; [0.445512, 0.447068]
[-0.00993003, -0.00988893] ; [0.447068, 0.448621]
[-0.0097658, -0.00972457] ; [0.448621, 0.45017]
[-0.0096064, -0.00956505] ; [0.45017, 0.451715]
[-0.00945153, -0.00941005] ; [0.451715, 0.453258]
[-0.00930091, -0.00925929] ; [0.453258, 0.454796]
[-0.00915423, -0.00911249] ; [0.454796, 0.456332]
[-0.0090112, -0.00896933] ; [0.456332, 0.457865]
[-0.0088715, -0.0088295] ; [0.457865, 0.459395]
[-0.00873485, -0.00869272] ; [0.459395, 0.460923]
[-0.00860094, -0.00855868] ; [0.460923, 0.462448]
[-0.00846949, -0.0084271] ; [0.462448, 0.463971]
[-0.0083402, -0.00829767] ; [0.463971, 0.465493]
[-0.00821279, -0.00817013] ; [0.465493, 0.467013]
[-0.00808698, -0.00804418] ; [0.467013, 0.468531]
[-0.00796247, -0.00791954] ; [0.468531, 0.470048]
[-0.007839, -0.00779594] ; [0.470048, 0.471563]
[-0.00771614, -0.00767294] ; [0.471563, 0.473079]
[-0.00759205, -0.00754871] ; [0.473079, 0.474616]
[-0.00746647, -0.00742298] ; [0.474616, 0.476172]
[-0.00733911, -0.00729548] ; [0.476172, 0.477749]
[-0.00720975, -0.00716597] ; [0.477749, 0.479344]
[-0.00707814, -0.0070342] ; [0.479344, 0.480957]
[-0.00694392, -0.00689983] ; [0.480957, 0.482589]
[-0.00680674, -0.00676248] ; [0.482589, 0.484237]
[-0.0066662, -0.00662177] ; [0.484237, 0.485903]
[-0.00652188, -0.00647729] ; [0.485903, 0.487587]
[-0.00637334, -0.00632858] ; [0.487587, 0.489288]
[-0.00622012, -0.00617518] ; [0.489288, 0.491006]
[-0.00606188, -0.00601676] ; [0.491006, 0.49274]
[-0.00589812, -0.00585281] ; [0.49274, 0.49449]
[-0.00572833, -0.00568284] ; [0.49449, 0.496255]
[-0.00555197, -0.00550628] ; [0.496255, 0.498035]
[-0.00536848, -0.00532258] ; [0.498035, 0.49983]
[-0.00517724, -0.00513114] ; [0.49983, 0.501641]
[-0.00497766, -0.00493135] ; [0.501641, 0.503467]
[-0.00476908, -0.00472255] ; [0.503467, 0.505309]
[-0.00455083, -0.00450408] ; [0.505309, 0.507167]
[-0.0043222, -0.00427522] ; [0.507167, 0.50904]
[-0.00408246, -0.00403525] ; [0.50904, 0.51093]
[-0.00383083, -0.00378338] ; [0.51093, 0.512835]
[-0.00356651, -0.00351882] ; [0.512835, 0.514758]
[-0.00328864, -0.0032407] ; [0.514758, 0.516697]
[-0.00299633, -0.00294813] ; [0.516697, 0.518655]
[-0.00268862, -0.00264016] ; [0.518655, 0.52063]
[-0.00236451, -0.00231578] ; [0.52063, 0.522625]
[-0.00202292, -0.00197391] ; [0.522625, 0.524639]
[-0.0016627, -0.0016134] ; [0.524639, 0.526675]
[-0.00128259, -0.001233] ; [0.526675, 0.528732]
[-0.000881257, -0.000831362] ; [0.528732, 0.530814]
[-0.000457211, -0.000407006] ; [0.530814, 0.53292]
[-8.82189e-06, 4.17031e-05] ; [0.53292, 0.535054]
[0.000465735, 0.00051659] ; [0.535054, 0.537217]
[0.000968518, 0.00101971] ; [0.537217, 0.539413]
[0.00150188, 0.00155343] ; [0.539413, 0.541644]
[0.00206855, 0.00212046] ; [0.541644, 0.543916]
[0.00267176, 0.00272405] ; [0.543916, 0.546234]
[0.0033154, 0.00336809] ; [0.546234, 0.548604]
[0.00400426, 0.00405737] ; [0.548604, 0.551035]
[0.00474443, 0.00479799] ; [0.551035, 0.553538]
[0.00554391, 0.00559794] ; [0.553538, 0.556128]
[0.00641363, 0.00646818] ; [0.556128, 0.558828]
[0.00736934, 0.00742448] ; [0.558828, 0.561668]
[0.00843548, 0.00849129] ; [0.561668, 0.5647]
[0.00944567, 0.00950205] ; [0.5647, 0.567454]
[0.0104342, 0.0104911] ; [0.567454, 0.570051]
[0.0114008, 0.0114581] ; [0.570051, 0.572507]
[0.0123502, 0.012408] ; [0.572507, 0.574847]
[0.0132851, 0.0133432] ; [0.574847, 0.577088]
