[0.781363, 0.781442] ; [0.309132, 0.310709]
[0.795746, 0.795827] ; [0.310709, 0.312301]
[0.81012, 0.810202] ; [0.312301, 0.313907]
[0.824479, 0.824563] ; [0.313907, 0.315527]
[0.838822, 0.838907] ; [0.315527, 0.317162]
[0.853144, 0.853231] ; [0.317162, 0.318812]
[0.867444, 0.867532] ; [0.318812, 0.320478]
[0.881716, 0.881806] ; [0.320478, 0.322158]
[0.895959, 0.89605] ; [0.322158, 0.323855]
[0.910168, 0.910261] ; [0.323855, 0.325567]
[0.924335, 0.924429] ; [0.325567, 0.327295]
[0.938429, 0.938525] ; [0.327295, 0.329036]
[0.95245, 0.952547] ; [0.329036, 0.33079]
[0.966393, 0.966492] ; [0.33079, 0.332557]
[0.980256, 0.980357] ; [0.332557, 0.334339]
[0.994035, 0.994138] ; [0.334339, 0.336134]
[1.00773, 1.00783] ; [0.336134, 0.337944]
[1.02134, 1.02144] ; [0.337944, 0.339769]
[1.03485, 1.03496] ; [0.339769, 0.34161]
[1.04827, 1.04838] ; [0.34161, 0.343467]
[1.0616, 1.06171] ; [0.343467, 0.345341]
[1.07483, 1.07494] ; [0.345341, 0.347232]
[1.08796, 1.08808] ; [0.347232, 0.349142]
[1.10099, 1.10111] ; [0.349142, 0.351072]
[1.11392, 1.11404] ; [0.351072, 0.353022]
[1.12675, 1.12687] ; [0.353022, 0.354993]
[1.13947, 1.13959] ; [0.354993, 0.356988]
[1.15209, 1.15221] ; [0.356988, 0.359008]
[1.1646, 1.16473] ; [0.359008, 0.361053]
[1.17701, 1.17714] ; [0.361053, 0.363128]
[1.18932, 1.18945] ; [0.363128, 0.365233]
[1.20152, 1.20165] ; [0.365233, 0.367371]
[1.21362, 1.21375] ; [0.367371, 0.369545]
[1.2256, 1.22573] ; [0.369545, 0.371754]
[1.23746, 1.2376] ; [0.371754, 0.374004]
[1.24921, 1.24935] ; [0.374004, 0.376299]
[1.26086, 1.261] ; [0.376299, 0.378643]
[1.2724, 1.27255] ; [0.378643, 0.381045]
[1.28386, 1.28401] ; [0.381045, 0.383511]
[1.29524, 1.29539] ; [0.383511, 0.386054]
[1.30657, 1.30672] ; [0.386054, 0.388687]
[1.31786, 1.31802] ; [0.388687, 0.391429]
[1.32896, 1.32912] ; [0.391429, 0.394253]
[1.33909, 1.33925] ; [0.394253, 0.396958]
[1.34824, 1.3484] ; [0.396958, 0.399524]
[1.35658, 1.35674] ; [0.399524, 0.401982]
[1.36421, 1.36437] ; [0.401982, 0.404345]
[1.3712, 1.37137] ; [0.404345, 0.406624]
[1.37764, 1.3778] ; [0.406624, 0.408828]
[1.38356, 1.38372] ; [0.408828, 0.410966]
[1.38901, 1.38918] ; [0.410966, 0.413043]
[1.39403, 1.3942] ; [0.413043, 0.415064]
[1.39865, 1.39883] ; [0.415064, 0.417033]
[1.40291, 1.40308] ; [0.417033, 0.418955]
[1.40682, 1.407] ; [0.418955, 0.42083]
[1.41041, 1.41059] ; [0.42083, 0.422663]
[1.4137, 1.41388] ; [0.422663, 0.424456]
[1.4167, 1.41688] ; [0.424456, 0.426209]
[1.41944, 1.41962] ; [0.426209, 0.427925]
[1.42192, 1.4221] ; [0.427925, 0.429606]
[1.42416, 1.42435] ; [0.429606, 0.431251]
[1.42618, 1.42637] ; [0.431251, 0.432863]
[1.42802, 1.4282] ; [0.432863, 0.434468]
[1.42967, 1.42986] ; [0.434468, 0.436064]
[1.43113, 1.43133] ; [0.436064, 0.437654]
[1.43243, 1.43262] ; [0.437654, 0.439237]
[1.43354, 1.43374] ; [0.439237, 0.440814]
[1.43449, 1.43468] ; [0.440814, 0.442385]
[1.43526, 1.43546] ; [0.442385, 0.443951]
[1.43586, 1.43606] ; [0.443951, 0.445512]
[1.4363, 1.4365] ; [0.445512, 0.447068]
[1.43657, 1.43677] ; [0.447068, 0.448621]
[1.43668, 1.43688] ; [0.448621, 0.45017]
[1.43663, 1.43683] ; [0.45017, 0.451715]
[1.43641, 1.43661] ; [0.451715, 0.453258]
[1.43603, 1.43624] ; [0.453258, 0.454796]
[1.43549, 1.4357] ; [0.454796, 0.456332]
[1.4348, 1.43501] ; [0.456332, 0.457865]
[1.43394, 1.43415] ; [0.457865, 0.459395]
[1.43293, 1.43314] ; [0.459395, 0.460923]
[1.43177, 1.43198] ; [0.460923, 0.462448]
[1.43044, 1.43066] ; [0.462448, 0.463971]
[1.42897, 1.42918] ; [0.463971, 0.465493]
[1.42733, 1.42755] ; [0.465493, 0.467013]
[1.42555, 1.42577] ; [0.467013, 0.468531]
[1.42361, 1.42383] ; [0.468531, 0.470048]
[1.42152, 1.42173] ; [0.470048, 0.471563]
[1.41927, 1.41949] ; [0.471563, 0.473079]
[1.41683, 1.41705] ; [0.473079, 0.474616]
[1.4142, 1.41442] ; [0.474616, 0.476172]
[1.41137, 1.4116] ; [0.476172, 0.477749]
[1.40834, 1.40856] ; [0.477749, 0.479344]
[1.4051, 1.40532] ; [0.479344, 0.480957]
[1.40164, 1.40187] ; [0.480957, 0.482589]
[1.39797, 1.3982] ; [0.482589, 0.484237]
[1.39408, 1.39431] ; [0.484237, 0.485903]
[1.38995, 1.39018] ; [0.485903, 0.487587]
[1.38559, 1.38583] ; [0.487587, 0.489288]
[1.381, 1.38123] ; [0.489288, 0.491006]
[1.37616, 1.37639] ; [0.491006, 0.49274]
[1.37107, 1.37131] ; [0.49274, 0.49449]
[1.36574, 1.36598] ; [0.49449, 0.496255]
[1.36015, 1.36039] ; [0.496255, 0.498035]
[1.3543, 1.35454] ; [0.498035, 0.49983]
[1.34818, 1.34843] ; [0.49983, 0.501641]
[1.3418, 1.34204] ; [0.501641, 0.503467]
[1.33514, 1.33538] ; [0.503467, 0.505309]
[1.32819, 1.32844] ; [0.505309, 0.507167]
[1.32096, 1.32121] ; [0.507167, 0.50904]
[1.31344, 1.31368] ; [0.50904, 0.51093]
[1.30561, 1.30586] ; [0.51093, 0.512835]
[1.29748, 1.29773] ; [0.512835, 0.514758]
[1.28903, 1.28928] ; [0.514758, 0.516697]
[1.28026, 1.28051] ; [0.516697, 0.518655]
[1.27115, 1.27141] ; [0.518655, 0.52063]
[1.2617, 1.26196] ; [0.52063, 0.522625]
[1.25191, 1.25216] ; [0.522625, 0.524639]
[1.24174, 1.242] ; [0.524639, 0.526675]
[1.2312, 1.23146] ; [0.526675, 0.528732]
[1.22026, 1.22053] ; [0.528732, 0.530814]
[1.20892, 1.20918] ; [0.530814, 0.53292]
[1.19714, 1.19741] ; [0.53292, 0.535054]
[1.18491, 1.18518] ; [0.535054, 0.537217]
[1.1722, 1.17247] ; [0.537217, 0.539413]
[1.15897, 1.15924] ; [0.539413, 0.541644]
[1.14519, 1.14546] ; [0.541644, 0.543916]
[1.13081, 1.13108] ; [0.543916, 0.546234]
[1.11577, 1.11604] ; [0.546234, 0.548604]
[1.09999, 1.10026] ; [0.548604, 0.551035]
[1.08337, 1.08365] ; [0.551035, 0.553538]
[1.06578, 1.06606] ; [0.553538, 0.556128]
[1.04704, 1.04731] ; [0.556128, 0.558828]
[1.02685, 1.02713] ; [0.558828, 0.561668]
[1.00481, 1.00509] ; [0.561668, 0.5647]
[0.984321, 0.984602] ; [0.5647, 0.567454]
[0.964619, 0.964901] ; [0.567454, 0.570051]
[0.945648, 0.945931] ; [0.570051, 0.572507]
[0.927268, 0.927552] ; [0.572507, 0.574847]
[0.909393, 0.909677] ; [0.574847, 0.577088]
[0.891951, 0.892236] ; [0.577088, 0.579243]
[0.874888, 0.875173] ; [0.579243, 0.581324]
[0.858158, 0.858445] ; [0.581324, 0.583338]
[0.841726, 0.842013] ; [0.583338, 0.585293]
[0.82556, 0.825847] ; [0.585293, 0.587195]
[0.809635, 0.809923] ; [0.587195, 0.589049]
[0.793928, 0.794216] ; [0.589049, 0.590859]
[0.77842, 0.778708] ; [0.590859, 0.592629]
[0.763093, 0.763382] ; [0.592629, 0.594362]
[0.747933, 0.748222] ; [0.594362, 0.596062]
[0.732925, 0.733214] ; [0.596062, 0.597731]
[0.718057, 0.718346] ; [0.597731, 0.599372]
[0.703317, 0.703605] ; [0.599372, 0.600986]
[0.688693, 0.688982] ; [0.600986, 0.602576]
[0.674177, 0.674466] ; [0.602576, 0.604143]
[0.659758, 0.660047] ; [0.604143, 0.605689]
[0.645426, 0.645715] ; [0.605689, 0.607217]
[0.631174, 0.631462] ; [0.607217, 0.608727]
[0.617007, 0.617296] ; [0.608727, 0.610219]
[0.602924, 0.603212] ; [0.610219, 0.611695]
[0.588915, 0.589204] ; [0.611695, 0.613154]
[0.574973, 0.575261] ; [0.613154, 0.6146]
[0.561102, 0.56139] ; [0.6146, 0.616031]
[0.547302, 0.54759] ; [0.616031, 0.617448]
[0.533563, 0.533851] ; [0.617448, 0.618853]
[0.51988, 0.520167] ; [0.618853, 0.620247]
[0.506243, 0.50653] ; [0.620247, 0.62163]
[0.492646, 0.492933] ; [0.62163, 0.623004]
[0.47908, 0.479367] ; [0.623004, 0.62437]
[0.465539, 0.465825] ; [0.62437, 0.625729]
[0.452014, 0.4523] ; [0.625729, 0.627081]
[0.438499, 0.438785] ; [0.627081, 0.628429]
[0.424986, 0.425272] ; [0.628429, 0.629772]
[0.411467, 0.411752] ; [0.629772, 0.631113]
[0.397934, 0.398219] ; [0.631113, 0.632451]
[0.384379, 0.384663] ; [0.632451, 0.633788]
[0.370794, 0.371078] ; [0.633788, 0.635126]
[0.357169, 0.357453] ; [0.635126, 0.636464]
[0.343496, 0.343779] ; [0.636464, 0.637804]
[0.329765, 0.330048] ; [0.637804, 0.639148]
[0.315966, 0.316248] ; [0.639148, 0.640496]
[0.302088, 0.30237] ; [0.640496, 0.64185]
[0.288121, 0.288402] ; [0.64185, 0.64321]
[0.274051, 0.274331] ; [0.64321, 0.644579]
[0.259865, 0.260145] ; [0.644579, 0.645958]
[0.245551, 0.24583] ; [0.645958, 0.647348]
[0.231092, 0.231371] ; [0.647348, 0.64875]
[0.216473, 0.216752] ; [0.64875, 0.650168]
[0.201675, 0.201954] ; [0.650168, 0.651602]
[0.18668, 0.186958] ; [0.651602, 0.653055]
[0.171464, 0.171743] ; [0.653055, 0.654529]
[0.156006, 0.156284] ; [0.654529, 0.656026]
[0.14028, 0.140559] ; [0.656026, 0.65755]
[0.124269, 0.124548] ; [0.65755, 0.659102]
[0.107941, 0.10822] ; [0.659102, 0.660685]
[0.0912597, 0.0915391] ; [0.660685, 0.662304]
[0.0741874, 0.0744672] ; [0.662304, 0.663963]
[0.0566795, 0.0569597] ; [0.663963, 0.665666]
[0.0386859, 0.0389666] ; [0.665666, 0.667419]
[0.0208671, 0.0211485] ; [0.667419, 0.669158]
[0.00383556, 0.00411753] ; [0.669158, 0.670823]
[-0.0127146, -0.0124319] ; [0.670823, 0.672445]
[-0.0288152, -0.0285318] ; [0.672445, 0.674025]
[-0.0445373, -0.0442532] ; [0.674025, 0.675572]
[-0.0599328, -0.059648] ; [0.675572, 0.67709]
[-0.0750455, -0.0747601] ; [0.67709, 0.678585]
[-0.0899114, -0.0896255] ; [0.678585, 0.680058]
[-0.104561, -0.104274] ; [0.680058, 0.681514]
[-0.119021, -0.118733] ; [0.681514, 0.682955]
[-0.133313, -0.133024] ; [0.682955, 0.684384]
[-0.147456, -0.147166] ; [0.684384, 0.685802]
[-0.161468, -0.161177] ; [0.685802, 0.687211]
[-0.175363, -0.175071] ; [0.687211, 0.688613]
[-0.189155, -0.188862] ; [0.688613, 0.690009]
[-0.202847, -0.202553] ; [0.690009, 0.6914]
[-0.216451, -0.216156] ; [0.6914, 0.692787]
[-0.229977, -0.22968] ; [0.692787, 0.694171]
[-0.243433, -0.243135] ; [0.694171, 0.695553]
[-0.256827, -0.256527] ; [0.695553, 0.696934]
[-0.270165, -0.269864] ; [0.696934, 0.698315]
[-0.283454, -0.283152] ; [0.698315, 0.699696]
[-0.2967, -0.296396] ; [0.699696, 0.701079]
[-0.309907, -0.309602] ; [0.701079, 0.702463]
[-0.323081, -0.322774] ; [0.702463, 0.703851]
[-0.336225, -0.335917] ; [0.703851, 0.705242]
[-0.349344, -0.349034] ; [0.705242, 0.706636]
[-0.362439, -0.362128] ; [0.706636, 0.708035]
[-0.375516, -0.375203] ; [0.708035, 0.709439]
[-0.388575, -0.38826] ; [0.709439, 0.710849]
[-0.401619, -0.401303] ; [0.710849, 0.712264]
[-0.414651, -0.414333] ; [0.712264, 0.713686]
[-0.427671, -0.427352] ; [0.713686, 0.715114]
[-0.440682, -0.440361] ; [0.715114, 0.71655]
[-0.453684, -0.453361] ; [0.71655, 0.717994]
[-0.466681, -0.466352] ; [0.717994, 0.719445]
[-0.47967, -0.479336] ; [0.719445, 0.720905]
[-0.492653, -0.492313] ; [0.720905, 0.722373]
[-0.50563, -0.505283] ; [0.722373, 0.723851]
[-0.518599, -0.518247] ; [0.723851, 0.725338]
[-0.531563, -0.531205] ; [0.725338, 0.726835]
[-0.544519, -0.544155] ; [0.726835, 0.728341]
[-0.557468, -0.557098] ; [0.728341, 0.729859]
[-0.570408, -0.570033] ; [0.729859, 0.731386]
[-0.58334, -0.582959] ; [0.731386, 0.732925]
[-0.596261, -0.595875] ; [0.732925, 0.734475]
[-0.609172, -0.60878] ; [0.734475, 0.736037]
[-0.62207, -0.621672] ; [0.736037, 0.737611]
[-0.634954, -0.63455] ; [0.737611, 0.739197]
[-0.647822, -0.647413] ; [0.739197, 0.740795]
[-0.660673, -0.660258] ; [0.740795, 0.742407]
[-0.673505, -0.673084] ; [0.742407, 0.744031]
[-0.686316, -0.68589] ; [0.744031, 0.745669]
[-0.699104, -0.698672] ; [0.745669, 0.747321]
[-0.711866, -0.711429] ; [0.747321, 0.748986]
[-0.724601, -0.724158] ; [0.748986, 0.750667]
[-0.737307, -0.736858] ; [0.750667, 0.752362]
[-0.74998, -0.749525] ; [0.752362, 0.754072]
[-0.762618, -0.762158] ; [0.754072, 0.755799]
[-0.77522, -0.774754] ; [0.755799, 0.757541]
[-0.787782, -0.787311] ; [0.757541, 0.7593]
[-0.800302, -0.799826] ; [0.7593, 0.761076]
[-0.812778, -0.812296] ; [0.761076, 0.762869]
[-0.825207, -0.824719] ; [0.762869, 0.764681]
