[-0.390736, -0.390728] ; [0.212476, 0.214247]
[-0.393634, -0.393625] ; [0.214247, 0.216011]
[-0.396504, -0.396496] ; [0.216011, 0.21777]
[-0.399351, -0.399342] ; [0.21777, 0.219525]
[-0.402174, -0.402165] ; [0.219525, 0.221276]
[-0.404977, -0.404968] ; [0.221276, 0.223025]
[-0.407761, -0.407751] ; [0.223025, 0.224772]
[-0.410527, -0.410518] ; [0.224772, 0.226518]
[-0.413278, -0.413268] ; [0.226518, 0.228264]
[-0.416015, -0.416005] ; [0.228264, 0.230011]
[-0.418739, -0.418729] ; [0.230011, 0.231759]
[-0.421452, -0.421442] ; [0.231759, 0.233509]
[-0.424154, -0.424144] ; [0.233509, 0.235262]
[-0.426848, -0.426838] ; [0.235262, 0.237017]
[-0.429535, -0.429525] ; [0.237017, 0.238777]
[-0.432215, -0.432205] ; [0.238777, 0.240541]
[-0.434891, -0.43488] ; [0.240541, 0.242309]
[-0.437562, -0.437551] ; [0.242309, 0.244083]
[-0.440231, -0.440219] ; [0.244083, 0.245863]
[-0.442897, -0.442886] ; [0.245863, 0.24765]
[-0.445564, -0.445552] ; [0.24765, 0.249443]
[-0.44823, -0.448219] ; [0.249443, 0.251244]
[-0.450898, -0.450887] ; [0.251244, 0.253053]
[-0.453569, -0.453558] ; [0.253053, 0.254871]
[-0.456244, -0.456232] ; [0.254871, 0.256698]
[-0.458924, -0.458911] ; [0.256698, 0.258534]
[-0.461609, -0.461597] ; [0.258534, 0.260381]
[-0.464302, -0.464289] ; [0.260381, 0.262239]
[-0.467002, -0.46699] ; [0.262239, 0.264107]
[-0.469713, -0.4697] ; [0.264107, 0.265988]
[-0.472434, -0.472421] ; [0.265988, 0.267881]
[-0.475167, -0.475154] ; [0.267881, 0.269788]
[-0.477913, -0.4779] ; [0.269788, 0.271709]
[-0.480673, -0.48066] ; [0.271709, 0.273644]
[-0.48345, -0.483437] ; [0.273644, 0.275595]
[-0.486244, -0.486231] ; [0.275595, 0.277562]
[-0.489058, -0.489044] ; [0.277562, 0.279546]
[-0.491892, -0.491878] ; [0.279546, 0.281548]
[-0.494749, -0.494735] ; [0.281548, 0.283569]
[-0.49763, -0.497616] ; [0.283569, 0.285611]
[-0.500538, -0.500524] ; [0.285611, 0.287674]
[-0.503475, -0.503461] ; [0.287674, 0.289761]
[-0.506444, -0.506429] ; [0.289761, 0.291871]
[-0.509447, -0.509432] ; [0.291871, 0.294008]
[-0.512487, -0.512472] ; [0.294008, 0.296173]
[-0.515568, -0.515553] ; [0.296173, 0.298368]
[-0.518625, -0.51861] ; [0.298368, 0.300547]
[-0.52163, -0.521615] ; [0.300547, 0.302688]
[-0.524586, -0.52457] ; [0.302688, 0.304796]
[-0.527495, -0.527479] ; [0.304796, 0.306869]
[-0.530358, -0.530342] ; [0.306869, 0.30891]
[-0.533175, -0.533159] ; [0.30891, 0.310918]
[-0.535949, -0.535933] ; [0.310918, 0.312894]
[-0.538682, -0.538666] ; [0.312894, 0.31484]
[-0.541376, -0.54136] ; [0.31484, 0.316757]
[-0.544033, -0.544017] ; [0.316757, 0.318646]
[-0.546654, -0.546637] ; [0.318646, 0.320509]
[-0.54924, -0.549224] ; [0.320509, 0.322346]
[-0.551793, -0.551776] ; [0.322346, 0.324158]
[-0.554314, -0.554297] ; [0.324158, 0.325945]
[-0.556803, -0.556787] ; [0.325945, 0.327709]
[-0.559263, -0.559246] ; [0.327709, 0.32945]
[-0.561692, -0.561675] ; [0.32945, 0.331169]
[-0.564093, -0.564076] ; [0.331169, 0.332865]
[-0.566466, -0.566449] ; [0.332865, 0.33454]
[-0.56881, -0.568793] ; [0.33454, 0.336194]
[-0.571128, -0.571111] ; [0.336194, 0.337827]
[-0.573419, -0.573402] ; [0.337827, 0.339439]
[-0.5757, -0.575683] ; [0.339439, 0.341043]
[-0.577978, -0.577961] ; [0.341043, 0.342643]
[-0.580252, -0.580235] ; [0.342643, 0.344239]
[-0.582524, -0.582506] ; [0.344239, 0.345831]
[-0.584792, -0.584774] ; [0.345831, 0.347419]
[-0.587058, -0.58704] ; [0.347419, 0.349004]
[-0.589322, -0.589304] ; [0.349004, 0.350586]
[-0.591584, -0.591566] ; [0.350586, 0.352165]
[-0.593844, -0.593827] ; [0.352165, 0.353741]
[-0.596104, -0.596086] ; [0.353741, 0.355314]
[-0.598362, -0.598344] ; [0.355314, 0.356885]
[-0.60062, -0.600602] ; [0.356885, 0.358453]
[-0.602877, -0.602859] ; [0.358453, 0.36002]
[-0.605133, -0.605115] ; [0.36002, 0.361585]
[-0.60739, -0.607372] ; [0.361585, 0.363148]
[-0.609647, -0.609629] ; [0.363148, 0.364709]
[-0.611905, -0.611886] ; [0.364709, 0.366269]
[-0.614163, -0.614144] ; [0.366269, 0.367828]
[-0.616422, -0.616403] ; [0.367828, 0.369386]
[-0.618681, -0.618663] ; [0.369386, 0.370942]
[-0.620943, -0.620924] ; [0.370942, 0.372498]
[-0.623205, -0.623187] ; [0.372498, 0.374054]
[-0.625469, -0.625451] ; [0.374054, 0.375608]
[-0.627735, -0.627716] ; [0.375608, 0.377162]
[-0.630002, -0.629984] ; [0.377162, 0.378716]
[-0.632272, -0.632253] ; [0.378716, 0.38027]
[-0.634544, -0.634525] ; [0.38027, 0.381824]
[-0.636819, -0.6368] ; [0.381824, 0.383378]
[-0.639096, -0.639077] ; [0.383378, 0.384933]
[-0.641376, -0.641357] ; [0.384933, 0.386488]
[-0.643659, -0.64364] ; [0.386488, 0.388043]
[-0.645945, -0.645926] ; [0.388043, 0.3896]
[-0.648235, -0.648216] ; [0.3896, 0.391157]
[-0.650529, -0.65051] ; [0.391157, 0.392716]
[-0.652827, -0.652807] ; [0.392716, 0.394275]
[-0.655128, -0.655109] ; [0.394275, 0.395837]
[-0.657434, -0.657415] ; [0.395837, 0.3974]
[-0.659745, -0.659726] ; [0.3974, 0.398965]
[-0.66206, -0.662041] ; [0.398965, 0.400531]
[-0.664381, -0.664362] ; [0.400531, 0.4021]
[-0.666707, -0.666688] ; [0.4021, 0.403672]
[-0.669038, -0.669019] ; [0.403672, 0.405246]
[-0.671385, -0.671366] ; [0.405246, 0.406829]
[-0.673758, -0.673738] ; [0.406829, 0.408429]
[-0.676157, -0.676137] ; [0.408429, 0.410045]
[-0.678582, -0.678563] ; [0.410045, 0.411677]
[-0.681034, -0.681015] ; [0.411677, 0.413327]
[-0.683514, -0.683494] ; [0.413327, 0.414993]
[-0.68602, -0.686001] ; [0.414993, 0.416677]
[-0.688555, -0.688536] ; [0.416677, 0.418379]
[-0.691118, -0.691098] ; [0.418379, 0.420098]
[-0.693709, -0.69369] ; [0.420098, 0.421835]
[-0.696329, -0.696309] ; [0.421835, 0.42359]
[-0.698979, -0.698959] ; [0.42359, 0.425364]
[-0.701658, -0.701638] ; [0.425364, 0.427157]
[-0.704369, -0.704349] ; [0.427157, 0.42897]
[-0.707111, -0.707091] ; [0.42897, 0.430802]
[-0.709886, -0.709866] ; [0.430802, 0.432655]
[-0.712694, -0.712674] ; [0.432655, 0.434529]
[-0.715537, -0.715517] ; [0.434529, 0.436426]
[-0.718417, -0.718396] ; [0.436426, 0.438345]
[-0.721333, -0.721313] ; [0.438345, 0.440287]
[-0.724288, -0.724268] ; [0.440287, 0.442254]
[-0.727283, -0.727263] ; [0.442254, 0.444247]
[-0.730321, -0.730301] ; [0.444247, 0.446266]
[-0.733403, -0.733382] ; [0.446266, 0.448313]
[-0.736531, -0.73651] ; [0.448313, 0.450389]
[-0.739708, -0.739687] ; [0.450389, 0.452496]
[-0.742936, -0.742915] ; [0.452496, 0.454635]
[-0.746218, -0.746198] ; [0.454635, 0.456809]
[-0.749559, -0.749538] ; [0.456809, 0.459019]
[-0.752961, -0.75294] ; [0.459019, 0.461268]
[-0.756429, -0.756407] ; [0.461268, 0.463557]
[-0.759967, -0.759946] ; [0.463557, 0.465891]
[-0.763581, -0.763559] ; [0.465891, 0.468273]
[-0.767276, -0.767255] ; [0.468273, 0.470705]
[-0.77106, -0.771039] ; [0.470705, 0.473191]
