[-0.305256, -0.305253] ; [0.157743, 0.159499]
[-0.309066, -0.309064] ; [0.159499, 0.161279]
[-0.312913, -0.312911] ; [0.161279, 0.163087]
[-0.316798, -0.316796] ; [0.163087, 0.164923]
[-0.320726, -0.320723] ; [0.164923, 0.166791]
[-0.3247, -0.324697] ; [0.166791, 0.168694]
[-0.328726, -0.328723] ; [0.168694, 0.170634]
[-0.33281, -0.332807] ; [0.170634, 0.172616]
[-0.336959, -0.336956] ; [0.172616, 0.174645]
[-0.341181, -0.341177] ; [0.174645, 0.176724]
[-0.345484, -0.34548] ; [0.176724, 0.17886]
[-0.349879, -0.349875] ; [0.17886, 0.18106]
[-0.354359, -0.354354] ; [0.18106, 0.183322]
[-0.358649, -0.358644] ; [0.183322, 0.185506]
[-0.36278, -0.362775] ; [0.185506, 0.187627]
[-0.366774, -0.366769] ; [0.187627, 0.189695]
[-0.37065, -0.370644] ; [0.189695, 0.191717]
[-0.374421, -0.374416] ; [0.191717, 0.193701]
[-0.378102, -0.378096] ; [0.193701, 0.195652]
[-0.3817, -0.381694] ; [0.195652, 0.197573]
[-0.385226, -0.38522] ; [0.197573, 0.19947]
[-0.388686, -0.388679] ; [0.19947, 0.201346]
[-0.392087, -0.39208] ; [0.201346, 0.203202]
[-0.395434, -0.395427] ; [0.203202, 0.205043]
[-0.398732, -0.398725] ; [0.205043, 0.206869]
[-0.401986, -0.401979] ; [0.206869, 0.208683]
[-0.4052, -0.405192] ; [0.208683, 0.210487]
[-0.408375, -0.408367] ; [0.210487, 0.212281]
[-0.411515, -0.411507] ; [0.212281, 0.214067]
[-0.414622, -0.414614] ; [0.214067, 0.215845]
[-0.417699, -0.417691] ; [0.215845, 0.217618]
[-0.420749, -0.420741] ; [0.217618, 0.219387]
[-0.423775, -0.423766] ; [0.219387, 0.221151]
[-0.426777, -0.426768] ; [0.221151, 0.222913]
[-0.429759, -0.42975] ; [0.222913, 0.224673]
[-0.432721, -0.432712] ; [0.224673, 0.226431]
[-0.435667, -0.435658] ; [0.226431, 0.22819]
[-0.438597, -0.438587] ; [0.22819, 0.229949]
[-0.441513, -0.441504] ; [0.229949, 0.23171]
[-0.444417, -0.444408] ; [0.23171, 0.233472]
[-0.44731, -0.447301] ; [0.233472, 0.235237]
[-0.450194, -0.450184] ; [0.235237, 0.237005]
[-0.45307, -0.45306] ; [0.237005, 0.238777]
[-0.455939, -0.455929] ; [0.238777, 0.240553]
[-0.458803, -0.458792] ; [0.240553, 0.242334]
[-0.461662, -0.461651] ; [0.242334, 0.244121]
[-0.464518, -0.464507] ; [0.244121, 0.245914]
[-0.467373, -0.467362] ; [0.245914, 0.247713]
[-0.470227, -0.470216] ; [0.247713, 0.24952]
[-0.473081, -0.47307] ; [0.24952, 0.251334]
[-0.475938, -0.475926] ; [0.251334, 0.253157]
[-0.478797, -0.478785] ; [0.253157, 0.254988]
[-0.48166, -0.481649] ; [0.254988, 0.256828]
[-0.484529, -0.484517] ; [0.256828, 0.258679]
[-0.487405, -0.487393] ; [0.258679, 0.260539]
[-0.490288, -0.490276] ; [0.260539, 0.262411]
[-0.49318, -0.493168] ; [0.262411, 0.264294]
[-0.496082, -0.49607] ; [0.264294, 0.26619]
[-0.498996, -0.498984] ; [0.26619, 0.268098]
[-0.501923, -0.501911] ; [0.268098, 0.27002]
[-0.504865, -0.504852] ; [0.27002, 0.271956]
[-0.507822, -0.507809] ; [0.271956, 0.273907]
