[0.889412, 0.889453] ; [0.552507, 0.55425]
[0.892313, 0.892354] ; [0.55425, 0.555962]
[0.895173, 0.895214] ; [0.555962, 0.557646]
[0.897994, 0.898036] ; [0.557646, 0.559304]
[0.90078, 0.900822] ; [0.559304, 0.560939]
[0.903533, 0.903576] ; [0.560939, 0.562552]
[0.906255, 0.906298] ; [0.562552, 0.564145]
[0.908943, 0.908986] ; [0.564145, 0.565717]
[0.911601, 0.911645] ; [0.565717, 0.567271]
[0.91423, 0.914274] ; [0.567271, 0.568807]
[0.916832, 0.916876] ; [0.568807, 0.570327]
[0.919409, 0.919453] ; [0.570327, 0.571833]
[0.921959, 0.922003] ; [0.571833, 0.573323]
[0.924483, 0.924528] ; [0.573323, 0.5748]
[0.926982, 0.927028] ; [0.5748, 0.576264]
[0.929459, 0.929504] ; [0.576264, 0.577716]
[0.931914, 0.931959] ; [0.577716, 0.579157]
[0.934348, 0.934394] ; [0.579157, 0.580589]
[0.936763, 0.936809] ; [0.580589, 0.582012]
[0.939159, 0.939206] ; [0.582012, 0.583427]
[0.941539, 0.941586] ; [0.583427, 0.584836]
[0.943903, 0.94395] ; [0.584836, 0.58624]
[0.946251, 0.946299] ; [0.58624, 0.587638]
[0.948586, 0.948634] ; [0.587638, 0.589033]
[0.950907, 0.950956] ; [0.589033, 0.590425]
[0.953217, 0.953266] ; [0.590425, 0.591815]
[0.955516, 0.955565] ; [0.591815, 0.593204]
[0.957804, 0.957854] ; [0.593204, 0.594594]
[0.960084, 0.960133] ; [0.594594, 0.595984]
[0.962355, 0.962405] ; [0.595984, 0.597375]
[0.964619, 0.96467] ; [0.597375, 0.59877]
[0.966877, 0.966928] ; [0.59877, 0.600169]
[0.96913, 0.969182] ; [0.600169, 0.601573]
[0.971379, 0.971431] ; [0.601573, 0.602983]
[0.973625, 0.973678] ; [0.602983, 0.6044]
[0.97587, 0.975923] ; [0.6044, 0.605825]
[0.978114, 0.978167] ; [0.605825, 0.607261]
[0.980359, 0.980413] ; [0.607261, 0.608707]
[0.982606, 0.982661] ; [0.608707, 0.610167]
[0.984857, 0.984912] ; [0.610167, 0.611641]
[0.987113, 0.987169] ; [0.611641, 0.61313]
[0.989376, 0.989433] ; [0.61313, 0.614638]
[0.991648, 0.991705] ; [0.614638, 0.616166]
[0.993931, 0.993988] ; [0.616166, 0.617715]
[0.996226, 0.996284] ; [0.617715, 0.619289]
[0.998535, 0.998594] ; [0.619289, 0.620889]
[1.00086, 1.00092] ; [0.620889, 0.622519]
[1.0032, 1.00326] ; [0.622519, 0.62418]
[1.00557, 1.00563] ; [0.62418, 0.625877]
[1.00796, 1.00802] ; [0.625877, 0.627614]
[1.01038, 1.01044] ; [0.627614, 0.629395]
[1.01283, 1.0129] ; [0.629395, 0.631226]
[1.01528, 1.01535] ; [0.631226, 0.63308]
[1.01759, 1.01765] ; [0.63308, 0.634848]
[1.0198, 1.01987] ; [0.634848, 0.636573]
[1.02193, 1.022] ; [0.636573, 0.638255]
[1.02399, 1.02406] ; [0.638255, 0.639902]
[1.02599, 1.02605] ; [0.639902, 0.641518]
[1.02792, 1.02799] ; [0.641518, 0.643109]
[1.02981, 1.02988] ; [0.643109, 0.644677]
[1.03164, 1.03171] ; [0.644677, 0.646225]
[1.03344, 1.03351] ; [0.646225, 0.647758]
[1.03519, 1.03526] ; [0.647758, 0.649275]
[1.03691, 1.03698] ; [0.649275, 0.65078]
[1.03859, 1.03867] ; [0.65078, 0.652275]
[1.04025, 1.04032] ; [0.652275, 0.65376]
[1.04187, 1.04195] ; [0.65376, 0.655238]
[1.04347, 1.04355] ; [0.655238, 0.65671]
