[0.284992, 0.285021] ; [0.246881, 0.248409]
[0.299302, 0.299332] ; [0.248409, 0.249939]
[0.313575, 0.313605] ; [0.249939, 0.251472]
[0.327816, 0.327847] ; [0.251472, 0.253009]
[0.34203, 0.342062] ; [0.253009, 0.254552]
[0.356221, 0.356254] ; [0.254552, 0.2561]
[0.370394, 0.370428] ; [0.2561, 0.257654]
[0.384551, 0.384586] ; [0.257654, 0.259216]
[0.398695, 0.398731] ; [0.259216, 0.260785]
[0.412828, 0.412865] ; [0.260785, 0.262362]
[0.426952, 0.42699] ; [0.262362, 0.263948]
[0.441069, 0.441108] ; [0.263948, 0.265544]
[0.45518, 0.45522] ; [0.265544, 0.267149]
[0.469285, 0.469326] ; [0.267149, 0.268764]
[0.483384, 0.483426] ; [0.268764, 0.270391]
[0.497477, 0.49752] ; [0.270391, 0.272028]
[0.511565, 0.511609] ; [0.272028, 0.273677]
[0.525645, 0.525691] ; [0.273677, 0.275338]
[0.539718, 0.539764] ; [0.275338, 0.277011]
[0.553781, 0.553828] ; [0.277011, 0.278697]
[0.567833, 0.567881] ; [0.278697, 0.280396]
[0.581871, 0.581921] ; [0.280396, 0.282108]
[0.595895, 0.595945] ; [0.282108, 0.283834]
[0.6099, 0.609952] ; [0.283834, 0.285574]
[0.623886, 0.623939] ; [0.285574, 0.287328]
[0.637847, 0.637902] ; [0.287328, 0.289097]
[0.651783, 0.651838] ; [0.289097, 0.290881]
[0.665688, 0.665745] ; [0.290881, 0.29268]
[0.67956, 0.679618] ; [0.29268, 0.294494]
[0.693395, 0.693454] ; [0.294494, 0.296324]
[0.707189, 0.707249] ; [0.296324, 0.29817]
[0.720938, 0.721] ; [0.29817, 0.300032]
[0.734638, 0.734701] ; [0.300032, 0.301911]
[0.748285, 0.74835] ; [0.301911, 0.303807]
[0.761875, 0.761941] ; [0.303807, 0.305721]
[0.775404, 0.775471] ; [0.305721, 0.307652]
[0.788867, 0.788936] ; [0.307652, 0.309602]
[0.802261, 0.80233] ; [0.309602, 0.31157]
[0.81558, 0.815651] ; [0.31157, 0.313558]
[0.828821, 0.828894] ; [0.313558, 0.315566]
[0.841981, 0.842055] ; [0.315566, 0.317594]
[0.855048, 0.855124] ; [0.317594, 0.319643]
[0.867987, 0.868064] ; [0.319643, 0.321708]
[0.880796, 0.880874] ; [0.321708, 0.323789]
[0.893471, 0.89355] ; [0.323789, 0.325889]
[0.906008, 0.90609] ; [0.325889, 0.328006]
[0.918407, 0.91849] ; [0.328006, 0.330144]
[0.930663, 0.930747] ; [0.330144, 0.332301]
[0.942774, 0.94286] ; [0.332301, 0.334481]
[0.954738, 0.954825] ; [0.334481, 0.336685]
