[-0.000196848, 0] ; ([0.233874, 0.233874] ; [0, 0] ; [-1.38317, -1.38317] ; [0, 0])
[0.0318986, 0.0327549] ; ([0.218115, 0.218771] ; [-0.76979, -0.760591] ; [-1.34665, -1.34469] ; [2.25695, 2.3153])
[0.0327549, 0.0336301] ; ([0.217438, 0.218116] ; [-0.778573, -0.769482] ; [-1.34469, -1.34264] ; [2.3152, 2.37473])
[0.0336301, 0.0345249] ; ([0.216738, 0.217438] ; [-0.787253, -0.778267] ; [-1.34264, -1.34048] ; [2.37463, 2.43541])
[0.0345249, 0.0354403] ; ([0.216013, 0.216738] ; [-0.795835, -0.78695] ; [-1.34048, -1.33823] ; [2.43531, 2.49738])
[0.0354403, 0.0363771] ; ([0.215264, 0.216013] ; [-0.804322, -0.795534] ; [-1.33823, -1.33586] ; [2.49727, 2.56069])
[0.0363771, 0.0373363] ; ([0.214488, 0.215264] ; [-0.812719, -0.804023] ; [-1.33586, -1.33337] ; [2.56057, 2.6254])
[0.0373363, 0.0383191] ; ([0.213686, 0.214488] ; [-0.821033, -0.812423] ; [-1.33337, -1.33076] ; [2.62528, 2.69158])
[0.0383191, 0.0393264] ; ([0.212854, 0.213686] ; [-0.829267, -0.820739] ; [-1.33076, -1.32801] ; [2.69146, 2.75931])
[0.0393264, 0.0403596] ; ([0.211994, 0.212855] ; [-0.83743, -0.828977] ; [-1.32801, -1.32512] ; [2.75918, 2.82864])
[0.0403596, 0.0414199] ; ([0.211101, 0.211994] ; [-0.845527, -0.837142] ; [-1.32512, -1.32209] ; [2.8285, 2.89966])
[0.0414199, 0.0425089] ; ([0.210176, 0.211102] ; [-0.853567, -0.845243] ; [-1.32209, -1.31889] ; [2.89952, 2.97247])
[0.0425089, 0.043628] ; ([0.209217, 0.210177] ; [-0.861557, -0.853286] ; [-1.31889, -1.31552] ; [2.97232, 3.04714])
[0.043628, 0.0447791] ; ([0.208221, 0.209217] ; [-0.869507, -0.86128] ; [-1.31552, -1.31197] ; [3.04698, 3.12379])
[0.0447791, 0.0459638] ; ([0.207186, 0.208221] ; [-0.877428, -0.869234] ; [-1.31197, -1.30822] ; [3.12362, 3.20252])
[0.0459638, 0.0471844] ; ([0.20611, 0.207186] ; [-0.885329, -0.877158] ; [-1.30822, -1.30427] ; [3.20234, 3.28345])
[0.0471844, 0.0484429] ; ([0.204991, 0.206111] ; [-0.893224, -0.885064] ; [-1.30427, -1.30008] ; [3.28327, 3.36672])
[0.0484429, 0.0497419] ; ([0.203826, 0.204992] ; [-0.901126, -0.892964] ; [-1.30008, -1.29565] ; [3.36652, 3.45247])
[0.0497419, 0.051084] ; ([0.202611, 0.203826] ; [-0.90905, -0.900871] ; [-1.29565, -1.29096] ; [3.45226, 3.54085])
[0.051084, 0.0524722] ; ([0.201344, 0.202612] ; [-0.917013, -0.9088] ; [-1.29096, -1.28598] ; [3.54062, 3.63204])
[0.0524722, 0.0539096] ; ([0.20002, 0.201344] ; [-0.925031, -0.916768] ; [-1.28598, -1.28069] ; [3.63179, 3.72622])
[0.0539096, 0.0553998] ; ([0.198636, 0.200021] ; [-0.933127, -0.924793] ; [-1.28069, -1.27507] ; [3.72595, 3.82359])
[0.0553998, 0.0569467] ; ([0.197186, 0.198636] ; [-0.941321, -0.932895] ; [-1.27507, -1.26907] ; [3.82329, 3.92437])
[0.0569467, 0.0585544] ; ([0.195666, 0.197187] ; [-0.949639, -0.941096] ; [-1.26907, -1.26268] ; [3.92404, 4.02879])
[0.0585544, 0.0602275] ; ([0.19407, 0.195667] ; [-0.958105, -0.94942] ; [-1.26268, -1.25585] ; [4.02843, 4.13711])
[0.0602275, 0.0619705] ; ([0.192393, 0.194071] ; [-0.966749, -0.957894] ; [-1.25585, -1.24854] ; [4.13671, 4.24957])
[0.0619705, 0.0637885] ; ([0.190627, 0.192394] ; [-0.975601, -0.966546] ; [-1.24854, -1.24071] ; [4.24913, 4.36644])
[0.0637885, 0.0656862] ; ([0.188767, 0.190628] ; [-0.984691, -0.975406] ; [-1.24071, -1.23231] ; [4.36595, 4.48794])
[0.0656862, 0.0676677] ; ([0.186807, 0.188768] ; [-0.994048, -0.984504] ; [-1.23231, -1.22329] ; [4.48739, 4.61429])
[0.0676677, 0.0697366] ; ([0.18474, 0.186808] ; [-1.0037, -0.99387] ; [-1.22329, -1.21361] ; [4.61367, 4.7456])
[0.0697366, 0.0718942] ; ([0.182564, 0.184742] ; [-1.01368, -1.00353] ; [-1.21361, -1.20322] ; [4.7449, 4.88186])
[0.0718942, 0.0741396] ; ([0.180276, 0.182566] ; [-1.02399, -1.01351] ; [-1.20322, -1.1921] ; [4.88109, 5.02291])
[0.0741396, 0.0764679] ; ([0.177879, 0.180278] ; [-1.03463, -1.02381] ; [-1.19211, -1.18024] ; [5.02204, 5.16833])
[0.0764679, 0.0788702] ; ([0.17538, 0.177882] ; [-1.04556, -1.03443] ; [-1.18024, -1.16765] ; [5.16736, 5.31742])
[0.0788702, 0.0813332] ; ([0.172791, 0.175383] ; [-1.05675, -1.04535] ; [-1.16765, -1.15436] ; [5.31635, 5.46924])
[0.0813332, 0.0838399] ; ([0.170128, 0.172795] ; [-1.06812, -1.05653] ; [-1.15436, -1.14046] ; [5.46807, 5.62263])
[0.0838399, 0.0863714] ; ([0.16741, 0.170132] ; [-1.0796, -1.06789] ; [-1.14046, -1.12604] ; [5.62136, 5.77632])
[0.0863714, 0.0889086] ; ([0.164656, 0.167414] ; [-1.09111, -1.07936] ; [-1.12604, -1.11119] ; [5.77497, 5.92907])
[0.0889086, 0.091434] ; ([0.161887, 0.164661] ; [-1.10257, -1.09086] ; [-1.11119, -1.09603] ; [5.92766, 6.07979])
[0.091434, 0.0939329] ; ([0.159117, 0.161891] ; [-1.1139, -1.10231] ; [-1.09603, -1.08065] ; [6.07832, 6.22754])
[0.0939329, 0.0963937] ; ([0.156363, 0.159122] ; [-1.12505, -1.11364] ; [-1.08065, -1.06515] ; [6.22604, 6.37163])
[0.0963937, 0.0988082] ; ([0.153634, 0.156368] ; [-1.13596, -1.12478] ; [-1.06515, -1.0496] ; [6.37011, 6.5116])
[0.0988082, 0.101171] ; ([0.150937, 0.153639] ; [-1.14659, -1.13569] ; [-1.0496, -1.03405] ; [6.51007, 6.64716])
[0.101171, 0.103479] ; ([0.148279, 0.150942] ; [-1.15692, -1.14632] ; [-1.03405, -1.01856] ; [6.64561, 6.77816])
[0.103479, 0.105732] ; ([0.145662, 0.148284] ; [-1.16693, -1.15665] ; [-1.01856, -1.00315] ; [6.77661, 6.90459])
[0.105732, 0.107929] ; ([0.143087, 0.145667] ; [-1.17659, -1.16666] ; [-1.00315, -0.987844] ; [6.90305, 7.0265])
[0.107929, 0.110073] ; ([0.140556, 0.143093] ; [-1.18591, -1.17632] ; [-0.987848, -0.97266] ; [7.02497, 7.14402])
[0.110073, 0.112164] ; ([0.138067, 0.140561] ; [-1.19488, -1.18564] ; [-0.972664, -0.957605] ; [7.14249, 7.25729])
[0.112164, 0.114204] ; ([0.13562, 0.138073] ; [-1.2035, -1.19461] ; [-0.957609, -0.942684] ; [7.25576, 7.36647])
[0.114204, 0.116198] ; ([0.133213, 0.135626] ; [-1.21175, -1.20322] ; [-0.942688, -0.927897] ; [7.36496, 7.47175])
[0.116198, 0.118146] ; ([0.130845, 0.133219] ; [-1.21965, -1.21147] ; [-0.927902, -0.913244] ; [7.47024, 7.57329])
[0.118146, 0.120051] ; ([0.128514, 0.130851] ; [-1.22719, -1.21935] ; [-0.913249, -0.898721] ; [7.57179, 7.67128])
[0.120051, 0.121916] ; ([0.126218, 0.12852] ; [-1.23436, -1.22688] ; [-0.898726, -0.884324] ; [7.66979, 7.76587])
[0.121916, 0.123744] ; ([0.123956, 0.126224] ; [-1.24118, -1.23405] ; [-0.88433, -0.87005] ; [7.76439, 7.85723])
[0.123744, 0.125536] ; ([0.121726, 0.123963] ; [-1.24763, -1.24085] ; [-0.870056, -0.855892] ; [7.85575, 7.94551])
[0.125536, 0.127294] ; ([0.119527, 0.121733] ; [-1.25373, -1.2473] ; [-0.855898, -0.841846] ; [7.94403, 8.03084])
[0.127294, 0.129021] ; ([0.117357, 0.119534] ; [-1.25947, -1.25339] ; [-0.841852, -0.827905] ; [8.02936, 8.11335])
[0.129021, 0.130719] ; ([0.115215, 0.117364] ; [-1.26484, -1.25912] ; [-0.827912, -0.814065] ; [8.11188, 8.19317])
[0.130719, 0.132389] ; ([0.113098, 0.115222] ; [-1.26986, -1.26449] ; [-0.814072, -0.800319] ; [8.1917, 8.2704])
[0.132389, 0.134033] ; ([0.111007, 0.113106] ; [-1.27452, -1.2695] ; [-0.800326, -0.786662] ; [8.26893, 8.34515])
[0.134033, 0.135653] ; ([0.10894, 0.111014] ; [-1.27882, -1.27416] ; [-0.78667, -0.773089] ; [8.34369, 8.41752])
[0.135653, 0.137249] ; ([0.106895, 0.108947] ; [-1.28277, -1.27846] ; [-0.773096, -0.759593] ; [8.41606, 8.4876])
[0.137249, 0.138825] ; ([0.104871, 0.106902] ; [-1.28635, -1.28239] ; [-0.759601, -0.74617] ; [8.48613, 8.55547])
[0.138825, 0.14038] ; ([0.102869, 0.104879] ; [-1.28957, -1.28597] ; [-0.746178, -0.732814] ; [8.554, 8.6212])
[0.14038, 0.141916] ; ([0.100885, 0.102876] ; [-1.29243, -1.28919] ; [-0.732822, -0.71952] ; [8.61973, 8.68487])
[0.141916, 0.143435] ; ([0.0989205, 0.100893] ; [-1.29493, -1.29204] ; [-0.719528, -0.706282] ; [8.6834, 8.74655])
[0.143435, 0.144935] ; ([0.0969772, 0.098928] ; [-1.29707, -1.29454] ; [-0.706291, -0.693122] ; [8.74508, 8.80618])
[0.144935, 0.146416] ; ([0.0950546, 0.0969848] ; [-1.29883, -1.29667] ; [-0.693131, -0.680034] ; [8.80471, 8.86382])
[0.146416, 0.147881] ; ([0.0931515, 0.0950622] ; [-1.30024, -1.29843] ; [-0.680043, -0.667012] ; [8.86235, 8.91955])
[0.147881, 0.14933] ; ([0.0912672, 0.0931592] ; [-1.30128, -1.29983] ; [-0.667022, -0.654051] ; [8.91808, 8.97343])
[0.14933, 0.150764] ; ([0.0894008, 0.091275] ; [-1.30195, -1.30087] ; [-0.654062, -0.641146] ; [8.97196, 9.0255])
[0.150764, 0.152184] ; ([0.0875514, 0.0894087] ; [-1.30227, -1.30155] ; [-0.641156, -0.62829] ; [9.02403, 9.07583])
[0.152184, 0.153592] ; ([0.0857182, 0.0875596] ; [-1.30222, -1.30186] ; [-0.628301, -0.615479] ; [9.07436, 9.12446])
[0.153592, 0.154988] ; ([0.0839004, 0.0857267] ; [-1.30204, -1.30158] ; [-0.61549, -0.602707] ; [9.12299, 9.17144])
[0.154988, 0.156372] ; ([0.0821001, 0.0839093] ; [-1.30163, -1.30081] ; [-0.602718, -0.589988] ; [9.16996, 9.21673])
[0.156372, 0.157742] ; ([0.0803179, 0.0821094] ; [-1.30086, -1.29969] ; [-0.59, -0.577329] ; [9.21525, 9.26035])
[0.157742, 0.1591] ; ([0.0785532, 0.0803278] ; [-1.29974, -1.2982] ; [-0.577341, -0.564723] ; [9.25887, 9.30234])
[0.1591, 0.160448] ; ([0.0768053, 0.0785636] ; [-1.29826, -1.29637] ; [-0.564736, -0.552165] ; [9.30086, 9.34275])
[0.160448, 0.161784] ; ([0.0750733, 0.0768162] ; [-1.29643, -1.29419] ; [-0.552178, -0.53965] ; [9.34127, 9.38161])
[0.161784, 0.163112] ; ([0.0733566, 0.0750847] ; [-1.29425, -1.29166] ; [-0.539663, -0.527172] ; [9.38013, 9.41897])
[0.163112, 0.164431] ; ([0.0716547, 0.0733686] ; [-1.29172, -1.28879] ; [-0.527185, -0.514727] ; [9.41749, 9.45486])
[0.164431, 0.165742] ; ([0.0699668, 0.0716671] ; [-1.28885, -1.28558] ; [-0.51474, -0.502309] ; [9.45338, 9.48931])
[0.165742, 0.167046] ; ([0.0682924, 0.0699797] ; [-1.28564, -1.28202] ; [-0.502323, -0.489914] ; [9.48782, 9.52234])
[0.167046, 0.168344] ; ([0.0666309, 0.0683058] ; [-1.28208, -1.27813] ; [-0.489929, -0.477537] ; [9.52085, 9.55399])
[0.168344, 0.169636] ; ([0.0649818, 0.0666448] ; [-1.27819, -1.2739] ; [-0.477552, -0.465174] ; [9.55249, 9.58427])
[0.169636, 0.170923] ; ([0.0633447, 0.0649963] ; [-1.27397, -1.26934] ; [-0.465189, -0.452819] ; [9.58276, 9.61321])
[0.170923, 0.172206] ; ([0.0617189, 0.0633596] ; [-1.2694, -1.26445] ; [-0.452834, -0.440468] ; [9.6117, 9.64082])
[0.172206, 0.173485] ; ([0.060104, 0.0617343] ; [-1.26451, -1.25922] ; [-0.440484, -0.428116] ; [9.63931, 9.66713])
[0.173485, 0.174762] ; ([0.0584996, 0.0601199] ; [-1.25929, -1.25367] ; [-0.428132, -0.415759] ; [9.66561, 9.69216])
[0.174762, 0.176037] ; ([0.0569051, 0.0585159] ; [-1.25374, -1.24779] ; [-0.415775, -0.403391] ; [9.69062, 9.7159])
[0.176037, 0.17731] ; ([0.0553201, 0.056922] ; [-1.24787, -1.24159] ; [-0.403408, -0.391008] ; [9.71435, 9.73838])
[0.17731, 0.178582] ; ([0.0537442, 0.0553375] ; [-1.24167, -1.23507] ; [-0.391025, -0.378605] ; [9.73683, 9.75961])
[0.178582, 0.179854] ; ([0.0521769, 0.0537621] ; [-1.23516, -1.22823] ; [-0.378622, -0.366176] ; [9.75804, 9.7796])
[0.179854, 0.181127] ; ([0.0506178, 0.0521953] ; [-1.22832, -1.22107] ; [-0.366194, -0.353717] ; [9.77801, 9.79835])
[0.181127, 0.182401] ; ([0.0490664, 0.0506367] ; [-1.22117, -1.2136] ; [-0.353736, -0.341223] ; [9.79675, 9.81586])
[0.182401, 0.183677] ; ([0.0475223, 0.0490859] ; [-1.2137, -1.20582] ; [-0.341242, -0.328687] ; [9.81425, 9.83215])
[0.183677, 0.184956] ; ([0.0459852, 0.0475423] ; [-1.20592, -1.19772] ; [-0.328707, -0.316105] ; [9.83052, 9.8472])
[0.184956, 0.186238] ; ([0.0444545, 0.0460057] ; [-1.19783, -1.18932] ; [-0.316125, -0.303471] ; [9.84556, 9.86103])
[0.186238, 0.187525] ; ([0.0429298, 0.0444756] ; [-1.18943, -1.18061] ; [-0.303492, -0.290779] ; [9.85937, 9.87363])
[0.187525, 0.188816] ; ([0.0414107, 0.0429515] ; [-1.18072, -1.1716] ; [-0.2908, -0.278023] ; [9.87195, 9.88499])
[0.188816, 0.190113] ; ([0.0398969, 0.041433] ; [-1.17172, -1.16228] ; [-0.278045, -0.265197] ; [9.88329, 9.89512])
[0.190113, 0.191416] ; ([0.0383877, 0.0399197] ; [-1.16241, -1.15267] ; [-0.265219, -0.252294] ; [9.89339, 9.90399])
[0.191416, 0.192727] ; ([0.0368829, 0.0384112] ; [-1.1528, -1.14276] ; [-0.252317, -0.239309] ; [9.90224, 9.9116])
[0.192727, 0.194046] ; ([0.035382, 0.0369071] ; [-1.1429, -1.13256] ; [-0.239332, -0.226233] ; [9.90983, 9.91794])
[0.194046, 0.195374] ; ([0.0338846, 0.0354068] ; [-1.1327, -1.12207] ; [-0.226257, -0.21306] ; [9.91614, 9.92299])
[0.195374, 0.196712] ; ([0.0323901, 0.03391] ; [-1.12222, -1.11128] ; [-0.213084, -0.199783] ; [9.92116, 9.92673])
[0.196712, 0.19806] ; ([0.0308982, 0.0324163] ; [-1.11144, -1.10022] ; [-0.199808, -0.186393] ; [9.92488, 9.92915])
[0.19806, 0.199421] ; ([0.0294084, 0.0309251] ; [-1.10039, -1.08887] ; [-0.186419, -0.172883] ; [9.92726, 9.93021])
[0.199421, 0.200794] ; ([0.0279203, 0.0294361] ; [-1.08906, -1.07724] ; [-0.172911, -0.159245] ; [9.92829, 9.92989])
[0.200794, 0.202182] ; ([0.0264334, 0.0279487] ; [-1.07745, -1.06534] ; [-0.159275, -0.14547] ; [9.9269, 9.92921])
[0.202182, 0.203583] ; ([0.0249481, 0.0264626] ; [-1.06557, -1.05318] ; [-0.145502, -0.131557] ; [9.9237, 9.92747])
[0.203583, 0.205] ; ([0.0234642, 0.0249781] ; [-1.05343, -1.04075] ; [-0.131591, -0.117498] ; [9.91903, 9.9243])
[0.205, 0.206433] ; ([0.021981, 0.023495] ; [-1.04103, -1.02807] ; [-0.117536, -0.103285] ; [9.91284, 9.91965])
[0.206433, 0.207884] ; ([0.0204982, 0.0220127] ; [-1.02838, -1.01515] ; [-0.103325, -0.0889061] ; [9.9051, 9.91348])
[0.207884, 0.209354] ; ([0.0190151, 0.0205308] ; [-1.01548, -1.00198] ; [-0.0889502, -0.0743521] ; [9.89574, 9.90576])
[0.209354, 0.210844] ; ([0.0175312, 0.0190486] ; [-1.00234, -0.988569] ; [-0.0743998, -0.0596116] ; [9.88473, 9.89643])
[0.210844, 0.212356] ; ([0.0160461, 0.0175658] ; [-0.988964, -0.97493] ; [-0.0596631, -0.0446729] ; [9.87199, 9.88545])
[0.212356, 0.213838] ; ([0.0146114, 0.0160807] ; [-0.975342, -0.961568] ; [-0.0447275, -0.0300546] ; [9.85802, 9.87274])
[0.213838, 0.215291] ; ([0.0132238, 0.0146455] ; [-0.961979, -0.948473] ; [-0.0301116, -0.0157409] ; [9.8429, 9.85879])
[0.215291, 0.216719] ; ([0.0118781, 0.0132574] ; [-0.948882, -0.935621] ; [-0.0158001, -0.00169033] ; [9.82666, 9.84368])
[0.216719, 0.218126] ; ([0.0105706, 0.0119112] ; [-0.936029, -0.923004] ; [-0.00175173, 0.0121241] ; [9.80937, 9.82747])
[0.218126, 0.219514] ; ([0.00929814, 0.0106033] ; [-0.92341, -0.910613] ; [0.0120606, 0.0257263] ; [9.79106, 9.81019])
[0.219514, 0.220884] ; ([0.00805814, 0.0093306] ; [-0.911017, -0.89844] ; [0.0256607, 0.0391359] ; [9.77176, 9.7919])
[0.220884, 0.22224] ; ([0.006848, 0.00809032] ; [-0.898841, -0.886478] ; [0.0390682, 0.0523729] ; [9.75151, 9.77262])
[0.22224, 0.223583] ; ([0.00566546, 0.00687994] ; [-0.886877, -0.87472] ; [0.0523031, 0.0654541] ; [9.73032, 9.75238])
[0.223583, 0.224914] ; ([0.00450855, 0.00569721] ; [-0.875117, -0.863162] ; [0.0653822, 0.0783945] ; [9.70822, 9.73121])
[0.224914, 0.226235] ; ([0.00337551, 0.00454013] ; [-0.863557, -0.851798] ; [0.0783205, 0.0912075] ; [9.68522, 9.70912])
[0.226235, 0.227548] ; ([0.00226475, 0.00340695] ; [-0.852191, -0.840625] ; [0.0911314, 0.103905] ; [9.66132, 9.68613])
[0.227548, 0.228853] ; ([0.00117483, 0.00229607] ; [-0.841017, -0.829641] ; [0.103827, 0.116498] ; [9.63655, 9.66225])
