[-0.000211802, 0] ; ([-0.00698132, -0.00698132] ; [0, 0] ; [-1.74533, -1.74533] ; [0, 0])
[0.170341, 0.17171] ; ([-0.22552, -0.222831] ; [-1.95924, -1.95243] ; [-0.783039, -0.768081] ; [10.8865, 10.9485])
[0.17171, 0.173059] ; ([-0.228166, -0.225509] ; [-1.96483, -1.95863] ; [-0.768089, -0.753274] ; [10.947, 11.0067])
[0.173059, 0.174389] ; ([-0.230782, -0.228155] ; [-1.96981, -1.96422] ; [-0.753283, -0.738602] ; [11.0052, 11.0628])
[0.174389, 0.175701] ; ([-0.233369, -0.230771] ; [-1.97417, -1.96919] ; [-0.738611, -0.724055] ; [11.0613, 11.1169])
[0.175701, 0.176996] ; ([-0.235928, -0.233357] ; [-1.97792, -1.97354] ; [-0.724064, -0.709624] ; [11.1154, 11.169])
[0.176996, 0.178276] ; ([-0.23846, -0.235916] ; [-1.98106, -1.97729] ; [-0.709633, -0.6953] ; [11.1674, 11.2191])
[0.178276, 0.179541] ; ([-0.240968, -0.238449] ; [-1.98359, -1.98042] ; [-0.69531, -0.681075] ; [11.2176, 11.2673])
[0.179541, 0.180793] ; ([-0.243452, -0.240957] ; [-1.98551, -1.98295] ; [-0.681085, -0.666941] ; [11.2658, 11.3138])
[0.180793, 0.182032] ; ([-0.245914, -0.243441] ; [-1.98682, -1.98486] ; [-0.666951, -0.65289] ; [11.3123, 11.3585])
[0.182032, 0.18326] ; ([-0.248354, -0.245902] ; [-1.98752, -1.98617] ; [-0.652901, -0.638915] ; [11.3569, 11.4014])
[0.18326, 0.184478] ; ([-0.250774, -0.248342] ; [-1.98761, -1.98686] ; [-0.638925, -0.625007] ; [11.3999, 11.4427])
[0.184478, 0.185685] ; ([-0.253172, -0.250762] ; [-1.98731, -1.98673] ; [-0.625018, -0.611177] ; [11.4411, 11.4822])
[0.185685, 0.18688] ; ([-0.255547, -0.253159] ; [-1.98678, -1.9856] ; [-0.611189, -0.597425] ; [11.4807, 11.5201])
[0.18688, 0.188066] ; ([-0.2579, -0.255534] ; [-1.98565, -1.98386] ; [-0.597436, -0.583752] ; [11.5186, 11.5563])
[0.188066, 0.189241] ; ([-0.26023, -0.257886] ; [-1.98391, -1.98152] ; [-0.583764, -0.570151] ; [11.5548, 11.5909])
[0.189241, 0.190407] ; ([-0.26254, -0.260215] ; [-1.98158, -1.97858] ; [-0.570163, -0.556615] ; [11.5894, 11.624])
[0.190407, 0.191565] ; ([-0.264829, -0.262524] ; [-1.97864, -1.97504] ; [-0.556628, -0.543138] ; [11.6224, 11.6554])
[0.191565, 0.192715] ; ([-0.2671, -0.264813] ; [-1.9751, -1.97091] ; [-0.543151, -0.529711] ; [11.6539, 11.6854])
[0.192715, 0.193859] ; ([-0.269352, -0.267083] ; [-1.97097, -1.96618] ; [-0.529724, -0.516328] ; [11.6838, 11.7138])
[0.193859, 0.194997] ; ([-0.271587, -0.269334] ; [-1.96624, -1.96087] ; [-0.516341, -0.502982] ; [11.7123, 11.7408])
[0.194997, 0.19613] ; ([-0.273806, -0.271569] ; [-1.96092, -1.95496] ; [-0.502995, -0.489666] ; [11.7392, 11.7664])
[0.19613, 0.197259] ; ([-0.276009, -0.273787] ; [-1.95502, -1.94846] ; [-0.48968, -0.476373] ; [11.7648, 11.7905])
[0.197259, 0.198384] ; ([-0.278198, -0.275989] ; [-1.94852, -1.94137] ; [-0.476387, -0.463096] ; [11.7889, 11.8132])
[0.198384, 0.199506] ; ([-0.280372, -0.278177] ; [-1.94144, -1.9337] ; [-0.463111, -0.449829] ; [11.8116, 11.8345])
[0.199506, 0.200626] ; ([-0.282534, -0.280351] ; [-1.93376, -1.92544] ; [-0.449844, -0.436563] ; [11.8329, 11.8545])
[0.200626, 0.201745] ; ([-0.284684, -0.282512] ; [-1.92551, -1.91659] ; [-0.436578, -0.423291] ; [11.8529, 11.8731])
[0.201745, 0.202863] ; ([-0.286822, -0.284661] ; [-1.91666, -1.90716] ; [-0.423307, -0.410007] ; [11.8714, 11.8903])
[0.202863, 0.203981] ; ([-0.288949, -0.286798] ; [-1.90723, -1.89714] ; [-0.410023, -0.396701] ; [11.8887, 11.9062])
[0.203981, 0.205101] ; ([-0.291068, -0.288925] ; [-1.89721, -1.88653] ; [-0.396717, -0.383366] ; [11.9046, 11.9208])
[0.205101, 0.206222] ; ([-0.293177, -0.291042] ; [-1.8866, -1.87533] ; [-0.383382, -0.369993] ; [11.9191, 11.934])
[0.206222, 0.207346] ; ([-0.295279, -0.293151] ; [-1.87541, -1.86354] ; [-0.37001, -0.356573] ; [11.9323, 11.9459])
[0.207346, 0.208474] ; ([-0.297374, -0.295252] ; [-1.86362, -1.85115] ; [-0.35659, -0.343097] ; [11.9442, 11.9565])
