[-0.000214825, 0] ; ([-0.00698132, -0.00698132] ; [0, 0] ; [-1.74533, -1.74533] ; [0, 0])
[0.167819, 0.169259] ; ([-0.219738, -0.216949] ; [-1.93362, -1.92527] ; [-0.824603, -0.809255] ; [10.6235, 10.6912])
[0.169259, 0.170673] ; ([-0.222477, -0.219727] ; [-1.9408, -1.93305] ; [-0.809263, -0.794087] ; [10.6897, 10.7549])
[0.170673, 0.172065] ; ([-0.225182, -0.222467] ; [-1.94735, -1.94021] ; [-0.794096, -0.779082] ; [10.7534, 10.8162])
[0.172065, 0.173434] ; ([-0.227853, -0.225171] ; [-1.9533, -1.94676] ; [-0.77909, -0.764226] ; [10.8147, 10.8754])
[0.173434, 0.174784] ; ([-0.230493, -0.227842] ; [-1.95864, -1.9527] ; [-0.764235, -0.749512] ; [10.8739, 10.9323])
[0.174784, 0.176115] ; ([-0.233102, -0.230481] ; [-1.96337, -1.95803] ; [-0.749521, -0.734928] ; [10.9308, 10.9872])
[0.176115, 0.177428] ; ([-0.235682, -0.233091] ; [-1.96749, -1.96275] ; [-0.734937, -0.720467] ; [10.9858, 11.0401])
[0.177428, 0.178725] ; ([-0.238236, -0.235671] ; [-1.97102, -1.96687] ; [-0.720476, -0.706118] ; [11.0387, 11.0911])
[0.178725, 0.180006] ; ([-0.240763, -0.238224] ; [-1.97394, -1.97039] ; [-0.706128, -0.691874] ; [11.0896, 11.1402])
[0.180006, 0.181273] ; ([-0.243266, -0.240752] ; [-1.97626, -1.97331] ; [-0.691884, -0.677726] ; [11.1387, 11.1874])
[0.181273, 0.182528] ; ([-0.245745, -0.243254] ; [-1.97798, -1.97562] ; [-0.677737, -0.663667] ; [11.1859, 11.2329])
[0.182528, 0.18377] ; ([-0.248202, -0.245734] ; [-1.9791, -1.97734] ; [-0.663678, -0.649689] ; [11.2314, 11.2767])
[0.18377, 0.185] ; ([-0.250639, -0.248191] ; [-1.97962, -1.97845] ; [-0.649699, -0.635783] ; [11.2752, 11.3188])
[0.185, 0.186221] ; ([-0.253053, -0.250626] ; [-1.97953, -1.97896] ; [-0.635794, -0.621949] ; [11.3172, 11.3592])
[0.186221, 0.18743] ; ([-0.255446, -0.253041] ; [-1.97923, -1.97849] ; [-0.62196, -0.608192] ; [11.3576, 11.3979])
[0.18743, 0.188628] ; ([-0.257816, -0.255433] ; [-1.97855, -1.97721] ; [-0.608203, -0.594514] ; [11.3964, 11.435])
[0.188628, 0.189815] ; ([-0.260164, -0.257803] ; [-1.97726, -1.97533] ; [-0.594526, -0.580914] ; [11.4335, 11.4705])
[0.189815, 0.190993] ; ([-0.262489, -0.260149] ; [-1.97538, -1.97285] ; [-0.580926, -0.567384] ; [11.469, 11.5044])
[0.190993, 0.192162] ; ([-0.264794, -0.262474] ; [-1.97291, -1.96979] ; [-0.567397, -0.553918] ; [11.5029, 11.5368])
[0.192162, 0.193323] ; ([-0.267079, -0.264778] ; [-1.96985, -1.96614] ; [-0.553931, -0.540508] ; [11.5352, 11.5676])
[0.193323, 0.194477] ; ([-0.269346, -0.267063] ; [-1.9662, -1.96191] ; [-0.540521, -0.527147] ; [11.5661, 11.597])
[0.194477, 0.195624] ; ([-0.271594, -0.269328] ; [-1.96197, -1.95709] ; [-0.52716, -0.513828] ; [11.5954, 11.6248])
[0.195624, 0.196765] ; ([-0.273825, -0.271576] ; [-1.95715, -1.9517] ; [-0.513842, -0.500545] ; [11.6233, 11.6513])
[0.196765, 0.197902] ; ([-0.27604, -0.273806] ; [-1.95176, -1.94572] ; [-0.500559, -0.487291] ; [11.6498, 11.6764])
[0.197902, 0.199034] ; ([-0.27824, -0.27602] ; [-1.94578, -1.93916] ; [-0.487305, -0.474058] ; [11.6748, 11.7])
[0.199034, 0.200162] ; ([-0.280425, -0.278219] ; [-1.93922, -1.93202] ; [-0.474073, -0.460841] ; [11.6985, 11.7223])
