[-0.000137011, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0.0201496, 0.0206248] ; ([-0.0142604, -0.0138614] ; [-0.843832, -0.834836] ; [-0.761137, -0.760449] ; [1.43381, 1.46155])
[0.0206248, 0.0211073] ; ([-0.0146695, -0.0142603] ; [-0.852376, -0.843539] ; [-0.760449, -0.759737] ; [1.46137, 1.48935])
[0.0211073, 0.0215972] ; ([-0.015089, -0.0146694] ; [-0.860763, -0.852085] ; [-0.759737, -0.759001] ; [1.48917, 1.51739])
[0.0215972, 0.0220946] ; ([-0.0155192, -0.015089] ; [-0.868993, -0.860473] ; [-0.759001, -0.758239] ; [1.51721, 1.54569])
[0.0220946, 0.0225998] ; ([-0.0159602, -0.0155191] ; [-0.877066, -0.868705] ; [-0.758239, -0.757451] ; [1.5455, 1.57424])
[0.0225998, 0.023113] ; ([-0.0164122, -0.0159601] ; [-0.884983, -0.876779] ; [-0.757451, -0.756635] ; [1.57406, 1.60307])
[0.023113, 0.0236343] ; ([-0.0168756, -0.0164121] ; [-0.892744, -0.884698] ; [-0.756636, -0.755792] ; [1.60288, 1.63217])
[0.0236343, 0.0241641] ; ([-0.0173505, -0.0168755] ; [-0.90035, -0.892461] ; [-0.755792, -0.75492] ; [1.63198, 1.66155])
[0.0241641, 0.0247025] ; ([-0.0178372, -0.0173504] ; [-0.907803, -0.900069] ; [-0.75492, -0.754017] ; [1.66137, 1.69124])
[0.0247025, 0.0252498] ; ([-0.018336, -0.0178371] ; [-0.915101, -0.907523] ; [-0.754017, -0.753083] ; [1.69105, 1.72122])
[0.0252498, 0.0258063] ; ([-0.0188471, -0.0183359] ; [-0.922247, -0.914823] ; [-0.753083, -0.752117] ; [1.72104, 1.75153])
[0.0258063, 0.0263721] ; ([-0.0193709, -0.018847] ; [-0.929241, -0.921971] ; [-0.752117, -0.751117] ; [1.75134, 1.78216])
[0.0263721, 0.0269477] ; ([-0.0199076, -0.0193708] ; [-0.936084, -0.928967] ; [-0.751118, -0.750083] ; [1.78197, 1.81313])
[0.0269477, 0.0275333] ; ([-0.0204577, -0.0199075] ; [-0.942777, -0.935811] ; [-0.750083, -0.749012] ; [1.81294, 1.84445])
[0.0275333, 0.0281291] ; ([-0.0210213, -0.0204576] ; [-0.94932, -0.942506] ; [-0.749012, -0.747904] ; [1.84425, 1.87613])
[0.0281291, 0.0287356] ; ([-0.0215989, -0.0210212] ; [-0.955716, -0.949052] ; [-0.747904, -0.746756] ; [1.87593, 1.90818])
[0.0287356, 0.029353] ; ([-0.0221909, -0.0215988] ; [-0.961965, -0.95545] ; [-0.746756, -0.745568] ; [1.90799, 1.94062])
[0.029353, 0.0299817] ; ([-0.0227975, -0.0221908] ; [-0.968067, -0.9617] ; [-0.745568, -0.744338] ; [1.94043, 1.97346])
[0.0299817, 0.0306221] ; ([-0.0234193, -0.0227974] ; [-0.974026, -0.967805] ; [-0.744338, -0.743063] ; [1.97327, 2.00672])
