[-0.00012218, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0.0281971, 0.028852] ; ([0.0240428, 0.0245745] ; [-0.816314, -0.807164] ; [0.857744, 0.858459] ; [-1.105, -1.07628])
[0.028852, 0.0295164] ; ([0.0234977, 0.0240429] ; [-0.825041, -0.816038] ; [0.857, 0.857744] ; [-1.13421, -1.105])
[0.0295164, 0.0301903] ; ([0.0229388, 0.0234978] ; [-0.83362, -0.824765] ; [0.856226, 0.857001] ; [-1.16394, -1.13421])
[0.0301903, 0.0308741] ; ([0.022366, 0.0229389] ; [-0.842051, -0.833344] ; [0.85542, 0.856226] ; [-1.19417, -1.16393])
[0.0308741, 0.031568] ; ([0.0217789, 0.0223661] ; [-0.850333, -0.841776] ; [0.854581, 0.85542] ; [-1.22493, -1.19417])
[0.031568, 0.0322722] ; ([0.0211773, 0.021779] ; [-0.858467, -0.850059] ; [0.853707, 0.854581] ; [-1.25623, -1.22493])
[0.0322722, 0.032987] ; ([0.0205609, 0.0211774] ; [-0.866451, -0.858193] ; [0.852798, 0.853707] ; [-1.28807, -1.25623])
[0.032987, 0.0337127] ; ([0.0199294, 0.020561] ; [-0.874286, -0.866178] ; [0.851851, 0.852798] ; [-1.32047, -1.28807])
[0.0337127, 0.0344495] ; ([0.0192824, 0.0199295] ; [-0.881972, -0.874014] ; [0.850866, 0.851851] ; [-1.35344, -1.32047])
[0.0344495, 0.0351978] ; ([0.0186198, 0.0192825] ; [-0.889506, -0.8817] ; [0.849841, 0.850866] ; [-1.38698, -1.35344])
[0.0351978, 0.0359577] ; ([0.017941, 0.0186199] ; [-0.896891, -0.889235] ; [0.848774, 0.849841] ; [-1.42112, -1.38698])
[0.0359577, 0.0367297] ; ([0.017246, 0.0179412] ; [-0.904124, -0.89662] ; [0.847663, 0.848774] ; [-1.45585, -1.42111])
[0.0367297, 0.037514] ; ([0.0165342, 0.0172461] ; [-0.911206, -0.903855] ; [0.846508, 0.847663] ; [-1.4912, -1.45585])
[0.037514, 0.038311] ; ([0.0158053, 0.0165343] ; [-0.918137, -0.910938] ; [0.845305, 0.846508] ; [-1.52718, -1.4912])
[0.038311, 0.039121] ; ([0.0150589, 0.0158054] ; [-0.924916, -0.917869] ; [0.844053, 0.845305] ; [-1.5638, -1.52718])
[0.039121, 0.0399443] ; ([0.0142948, 0.0150591] ; [-0.931543, -0.924649] ; [0.84275, 0.844053] ; [-1.60107, -1.5638])
[0.0399443, 0.0407814] ; ([0.0135124, 0.0142949] ; [-0.938017, -0.931277] ; [0.841394, 0.84275] ; [-1.63901, -1.60107])
[0.0407814, 0.0416326] ; ([0.0127114, 0.0135125] ; [-0.944339, -0.937753] ; [0.839982, 0.841394] ; [-1.67763, -1.63901])
[0.0416326, 0.0424982] ; ([0.0118913, 0.0127115] ; [-0.950509, -0.944076] ; [0.838513, 0.839983] ; [-1.71694, -1.67762])
