[-0.0001447, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0.0305048, 0.0311626] ; ([-0.0232321, -0.0226055] ; [-0.955701, -0.949235] ; [-0.7447, -0.743421] ; [1.92653, 1.95986])
[0.0311626, 0.0318325] ; ([-0.0238743, -0.023232] ; [-0.961757, -0.955438] ; [-0.743422, -0.742097] ; [1.95967, 1.99342])
[0.0318325, 0.0325149] ; ([-0.0245326, -0.0238741] ; [-0.96767, -0.961496] ; [-0.742097, -0.740725] ; [1.99322, 2.02742])
[0.0325149, 0.0332104] ; ([-0.0252074, -0.0245324] ; [-0.97344, -0.967411] ; [-0.740725, -0.739304] ; [2.02722, 2.06186])
[0.0332104, 0.0339192] ; ([-0.0258994, -0.0252073] ; [-0.979068, -0.973183] ; [-0.739304, -0.73783] ; [2.06166, 2.09677])
[0.0339192, 0.0346419] ; ([-0.0266089, -0.0258993] ; [-0.984558, -0.978814] ; [-0.73783, -0.736302] ; [2.09656, 2.13216])
[0.0346419, 0.035379] ; ([-0.0273365, -0.0266088] ; [-0.989908, -0.984305] ; [-0.736302, -0.734717] ; [2.13195, 2.16804])
[0.035379, 0.036131] ; ([-0.0280828, -0.0273364] ; [-0.995122, -0.989659] ; [-0.734717, -0.733073] ; [2.16783, 2.20444])
[0.036131, 0.0368984] ; ([-0.0288483, -0.0280826] ; [-1.0002, -0.994875] ; [-0.733073, -0.731367] ; [2.20423, 2.24138])
[0.0368984, 0.0376818] ; ([-0.0296337, -0.0288481] ; [-1.00515, -0.999956] ; [-0.731367, -0.729597] ; [2.24116, 2.27888])
[0.0376818, 0.0384817] ; ([-0.0304396, -0.0296335] ; [-1.00996, -1.0049] ; [-0.729597, -0.727759] ; [2.27865, 2.31695])
[0.0384817, 0.0392989] ; ([-0.0312667, -0.0304394] ; [-1.01464, -1.00972] ; [-0.727759, -0.725849] ; [2.31672, 2.35561])
[0.0392989, 0.0401339] ; ([-0.0321158, -0.0312665] ; [-1.0192, -1.0144] ; [-0.72585, -0.723866] ; [2.35538, 2.3949])
[0.0401339, 0.0409875] ; ([-0.0329876, -0.0321156] ; [-1.02362, -1.01896] ; [-0.723866, -0.721805] ; [2.39466, 2.43482])
[0.0409875, 0.0418603] ; ([-0.0338829, -0.0329874] ; [-1.02792, -1.02339] ; [-0.721805, -0.719662] ; [2.43458, 2.47542])
[0.0418603, 0.0427533] ; ([-0.0348025, -0.0338827] ; [-1.0321, -1.0277] ; [-0.719662, -0.717433] ; [2.47517, 2.5167])
[0.0427533, 0.0436671] ; ([-0.0357475, -0.0348023] ; [-1.03616, -1.03188] ; [-0.717433, -0.715114] ; [2.51645, 2.5587])
[0.0436671, 0.0446026] ; ([-0.0367186, -0.0357473] ; [-1.0401, -1.03594] ; [-0.715115, -0.712701] ; [2.55844, 2.60145])
[0.0446026, 0.0455608] ; ([-0.037717, -0.0367184] ; [-1.04392, -1.03988] ; [-0.712701, -0.710187] ; [2.60118, 2.64497])
[0.0455608, 0.0465426] ; ([-0.0387436, -0.0377167] ; [-1.04763, -1.04371] ; [-0.710187, -0.707569] ; [2.64469, 2.68928])
[0.0465426, 0.0475489] ; ([-0.0397995, -0.0387433] ; [-1.05122, -1.04741] ; [-0.707569, -0.70484] ; [2.689, 2.73443])
[0.0475489, 0.0485808] ; ([-0.040886, -0.0397993] ; [-1.0547, -1.05101] ; [-0.70484, -0.701995] ; [2.73413, 2.78044])
[0.0485808, 0.0496394] ; ([-0.0420042, -0.0408858] ; [-1.05807, -1.05449] ; [-0.701995, -0.699027] ; [2.78013, 2.82733])
[0.0496394, 0.0507257] ; ([-0.0431554, -0.0420039] ; [-1.06134, -1.05787] ; [-0.699027, -0.695929] ; [2.82701, 2.87515])
[0.0507257, 0.0518411] ; ([-0.0443408, -0.0431551] ; [-1.0645, -1.06114] ; [-0.69593, -0.692696] ; [2.87481, 2.92391])
[0.0518411, 0.0529865] ; ([-0.0455618, -0.0443405] ; [-1.06755, -1.0643] ; [-0.692696, -0.689318] ; [2.92356, 2.97366])
[0.0529865, 0.0541634] ; ([-0.0468198, -0.0455615] ; [-1.07051, -1.06736] ; [-0.689318, -0.685789] ; [2.97329, 3.02441])
[0.0541634, 0.0553729] ; ([-0.0481162, -0.0468195] ; [-1.07336, -1.07032] ; [-0.685789, -0.6821] ; [3.02403, 3.0762])
[0.0553729, 0.0566162] ; ([-0.0494524, -0.0481159] ; [-1.07612, -1.07317] ; [-0.6821, -0.678242] ; [3.0758, 3.12905])
[0.0566162, 0.0578947] ; ([-0.0508298, -0.0494521] ; [-1.07878, -1.07593] ; [-0.678243, -0.674207] ; [3.12863, 3.18299])
[0.0578947, 0.059209] ; ([-0.0522492, -0.0508295] ; [-1.08134, -1.07859] ; [-0.674208, -0.669988] ; [3.18255, 3.23801])
[0.059209, 0.06056] ; ([-0.0537117, -0.0522488] ; [-1.0838, -1.08116] ; [-0.669989, -0.665576] ; [3.23754, 3.29411])
[0.06056, 0.0619486] ; ([-0.0552182, -0.0537113] ; [-1.08617, -1.08362] ; [-0.665576, -0.660962] ; [3.29361, 3.35129])
[0.0619486, 0.0633754] ; ([-0.0567695, -0.0552178] ; [-1.08844, -1.08599] ; [-0.660963, -0.65614] ; [3.35076, 3.40953])
[0.0633754, 0.0648408] ; ([-0.058366, -0.056769] ; [-1.09061, -1.08827] ; [-0.65614, -0.6511] ; [3.40898, 3.46882])
[0.0648408, 0.0663449] ; ([-0.0600079, -0.0583655] ; [-1.09269, -1.09044] ; [-0.651101, -0.645838] ; [3.46824, 3.52911])
[0.0663449, 0.0678874] ; ([-0.0616949, -0.0600074] ; [-1.09467, -1.09252] ; [-0.645838, -0.640347] ; [3.52849, 3.59033])
[0.0678874, 0.0694678] ; ([-0.0634263, -0.0616943] ; [-1.09655, -1.0945] ; [-0.640348, -0.634624] ; [3.58968, 3.65243])
[0.0694678, 0.071085] ; ([-0.065201, -0.0634257] ; [-1.09833, -1.09638] ; [-0.634625, -0.628667] ; [3.65174, 3.7153])
[0.071085, 0.0727374] ; ([-0.0670171, -0.0652003] ; [-1.1, -1.09816] ; [-0.628668, -0.622476] ; [3.71457, 3.77883])
[0.0727374, 0.0744229] ; ([-0.0688724, -0.0670164] ; [-1.10156, -1.09984] ; [-0.622477, -0.616053] ; [3.77807, 3.8429])
[0.0744229, 0.0761392] ; ([-0.0707642, -0.0688717] ; [-1.10302, -1.1014] ; [-0.616054, -0.609403] ; [3.8421, 3.90735])
[0.0761392, 0.0778833] ; ([-0.0726891, -0.0707634] ; [-1.10436, -1.10285] ; [-0.609404, -0.602532] ; [3.90651, 3.97204])
[0.0778833, 0.0796522] ; ([-0.0746436, -0.0726883] ; [-1.10558, -1.10419] ; [-0.602533, -0.595449] ; [3.97116, 4.03679])
