[-0.000125263, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0.0307879, 0.0314876] ; ([0.0221531, 0.022735] ; [-0.835893, -0.827256] ; [0.854733, 0.855572] ; [-1.21437, -1.18368])
[0.0314876, 0.0321977] ; ([0.0215567, 0.0221532] ; [-0.844106, -0.835618] ; [0.85386, 0.854733] ; [-1.24558, -1.21436])
[0.0321977, 0.0329184] ; ([0.0209455, 0.0215568] ; [-0.852169, -0.843831] ; [0.852951, 0.85386] ; [-1.27734, -1.24558])
[0.0329184, 0.0336501] ; ([0.0203191, 0.0209456] ; [-0.860083, -0.851895] ; [0.852004, 0.852951] ; [-1.30965, -1.27734])
[0.0336501, 0.0343929] ; ([0.0196774, 0.0203193] ; [-0.867848, -0.85981] ; [0.851019, 0.852005] ; [-1.34252, -1.30964])
[0.0343929, 0.0351473] ; ([0.01902, 0.0196775] ; [-0.875462, -0.867575] ; [0.849994, 0.851019] ; [-1.37596, -1.34252])
[0.0351473, 0.0359134] ; ([0.0183465, 0.0190201] ; [-0.882926, -0.875191] ; [0.848927, 0.849994] ; [-1.40999, -1.37596])
[0.0359134, 0.0366916] ; ([0.0176566, 0.0183466] ; [-0.890239, -0.882655] ; [0.847816, 0.848927] ; [-1.44462, -1.40999])
[0.0366916, 0.0374822] ; ([0.0169501, 0.0176568] ; [-0.897401, -0.889969] ; [0.84666, 0.847816] ; [-1.47986, -1.44462])
[0.0374822, 0.0382855] ; ([0.0162264, 0.0169502] ; [-0.904412, -0.897132] ; [0.845457, 0.84666] ; [-1.51572, -1.47986])
[0.0382855, 0.0391019] ; ([0.0154854, 0.0162266] ; [-0.911271, -0.904144] ; [0.844205, 0.845457] ; [-1.55221, -1.51571])
[0.0391019, 0.0399317] ; ([0.0147265, 0.0154855] ; [-0.917978, -0.911004] ; [0.842901, 0.844205] ; [-1.58935, -1.55221])
[0.0399317, 0.0407753] ; ([0.0139494, 0.0147266] ; [-0.924533, -0.917712] ; [0.841544, 0.842901] ; [-1.62715, -1.58935])
[0.0407753, 0.0416331] ; ([0.0131537, 0.0139495] ; [-0.930936, -0.924268] ; [0.840132, 0.841544] ; [-1.66563, -1.62715])
[0.0416331, 0.0425055] ; ([0.012339, 0.0131538] ; [-0.937186, -0.930672] ; [0.838662, 0.840132] ; [-1.70479, -1.66562])
[0.0425055, 0.0433928] ; ([0.0115047, 0.0123391] ; [-0.943283, -0.936923] ; [0.837132, 0.838662] ; [-1.74466, -1.70479])
[0.0433928, 0.0442955] ; ([0.0106506, 0.0115049] ; [-0.949227, -0.943021] ; [0.835538, 0.837132] ; [-1.78525, -1.74466])
[0.0442955, 0.0452141] ; ([0.00977612, 0.0106508] ; [-0.955018, -0.948967] ; [0.833879, 0.835538] ; [-1.82657, -1.78525])
[0.0452141, 0.046149] ; ([0.00888075, 0.00977627] ; [-0.960656, -0.954759] ; [0.832152, 0.83388] ; [-1.86864, -1.82657])
[0.046149, 0.0471007] ; ([0.007964, 0.0088809] ; [-0.96614, -0.960398] ; [0.830353, 0.832152] ; [-1.91148, -1.86864])
[0.0471007, 0.0480697] ; ([0.00702535, 0.00796416] ; [-0.971471, -0.965884] ; [0.82848, 0.830354] ; [-1.9551, -1.91148])
[0.0480697, 0.0490565] ; ([0.00606424, 0.00702551] ; [-0.976648, -0.971216] ; [0.826529, 0.82848] ; [-1.99953, -1.9551])
[0.0490565, 0.0500617] ; ([0.0050801, 0.0060644] ; [-0.981672, -0.976395] ; [0.824496, 0.826529] ; [-2.04477, -1.99952])
[0.0500617, 0.0510858] ; ([0.00407234, 0.00508027] ; [-0.986542, -0.98142] ; [0.822378, 0.824496] ; [-2.09086, -2.04475])
[0.0510858, 0.0521295] ; ([0.00304033, 0.00407251] ; [-0.991259, -0.986292] ; [0.820172, 0.822379] ; [-2.1378, -2.09083])
[0.0521295, 0.0531934] ; ([0.00198341, 0.0030405] ; [-0.995822, -0.991011] ; [0.817872, 0.820172] ; [-2.18562, -2.13776])
