[0.0449702, 0.0449882] ; [0.404516, 0.405968]
[0.0446156, 0.0446336] ; [0.405968, 0.407419]
[0.0442614, 0.0442794] ; [0.407419, 0.408871]
[0.0439076, 0.0439257] ; [0.408871, 0.410323]
[0.0435543, 0.0435724] ; [0.410323, 0.411775]
[0.0432013, 0.0432194] ; [0.411775, 0.413228]
[0.0428486, 0.0428667] ; [0.413228, 0.414681]
[0.0424961, 0.0425143] ; [0.414681, 0.416135]
[0.0421439, 0.0421621] ; [0.416135, 0.417589]
[0.0417918, 0.04181] ; [0.417589, 0.419044]
[0.0414399, 0.0414581] ; [0.419044, 0.4205]
[0.041088, 0.0411062] ; [0.4205, 0.421957]
[0.0407336, 0.0407518] ; [0.421957, 0.423426]
[0.0403752, 0.0403934] ; [0.423426, 0.424912]
[0.0400127, 0.040031] ; [0.424912, 0.426416]
[0.0396461, 0.0396644] ; [0.426416, 0.427938]
[0.0392755, 0.0392938] ; [0.427938, 0.429478]
[0.0389006, 0.038919] ; [0.429478, 0.431035]
[0.0385216, 0.03854] ; [0.431035, 0.43261]
[0.0381384, 0.0381568] ; [0.43261, 0.434204]
[0.0377508, 0.0377692] ; [0.434204, 0.435815]
[0.037359, 0.0373774] ; [0.435815, 0.437445]
[0.0369626, 0.0369811] ; [0.437445, 0.439093]
[0.0365618, 0.0365803] ; [0.439093, 0.440759]
[0.0361565, 0.0361749] ; [0.440759, 0.442444]
[0.0357464, 0.0357649] ; [0.442444, 0.444148]
[0.0353317, 0.0353502] ; [0.444148, 0.445871]
[0.0349121, 0.0349306] ; [0.445871, 0.447613]
[0.0344875, 0.0345061] ; [0.447613, 0.449375]
[0.0340578, 0.0340764] ; [0.449375, 0.451157]
[0.0336229, 0.0336415] ; [0.451157, 0.452959]
[0.0331826, 0.0332012] ; [0.452959, 0.454782]
[0.0327367, 0.0327553] ; [0.454782, 0.456627]
[0.032285, 0.0323037] ; [0.456627, 0.458494]
[0.0318275, 0.0318462] ; [0.458494, 0.460383]
[0.0313638, 0.0313825] ; [0.460383, 0.462296]
[0.0308937, 0.0309125] ; [0.462296, 0.464233]
[0.0304171, 0.0304359] ; [0.464233, 0.466195]
[0.0299336, 0.0299525] ; [0.466195, 0.468183]
[0.029443, 0.0294619] ; [0.468183, 0.470198]
[0.0289449, 0.0289638] ; [0.470198, 0.472242]
[0.028439, 0.028458] ; [0.472242, 0.474315]
[0.0279249, 0.027944] ; [0.474315, 0.47642]
[0.0274023, 0.0274214] ; [0.47642, 0.478558]
[0.0268707, 0.0268899] ; [0.478558, 0.480731]
[0.0263296, 0.0263488] ; [0.480731, 0.482941]
[0.0257784, 0.0257976] ; [0.482941, 0.485192]
[0.0252164, 0.0252358] ; [0.485192, 0.487485]
[0.024643, 0.0246624] ; [0.487485, 0.489825]
[0.0240573, 0.0240768] ; [0.489825, 0.492215]
[0.0234585, 0.0234781] ; [0.492215, 0.49466]
[0.0228459, 0.0228656] ; [0.49466, 0.497163]
[0.0222183, 0.0222381] ; [0.497163, 0.49973]
[0.0215744, 0.0215944] ; [0.49973, 0.50237]
[0.0209127, 0.0209328] ; [0.50237, 0.505088]
[0.0202313, 0.0202516] ; [0.505088, 0.507897]
[0.0195549, 0.0195754] ; [0.507897, 0.510695]
[0.0189018, 0.0189225] ; [0.510695, 0.51341]
[0.0182682, 0.0182891] ; [0.51341, 0.516059]
[0.0176523, 0.0176733] ; [0.516059, 0.518649]
